Metric,Value__Emory,Value__JHU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,170,687,47,18,2,249,298,604,2075
Total comorbidities across all patients,365,1474,83,33,6,572,722,1016,4271
Average comorbidities per hospitalization,2.15,2.15,1.77,1.83,3.00,2.30,2.42,1.68,
Most common comorbidity,renal_disease,congestive_heart_failure,congestive_heart_failure,renal_disease,diabetes_uncomplicated,congestive_heart_failure,congestive_heart_failure,renal_disease,
Most common: per 1000 hospitalizations,435.3,378.5,361.7,388.9,1000.0,445.8,406.0,258.3,
