comorbidity,n_patients__Emory,n_patients__JHU,n_patients__OHSU,n_patients__RUSH,n_patients__Sunnybrook,n_patients__UCMC,n_patients__UMN,n_patients__UPenn,n_patients__ALL,prevalence_percent__Emory,prevalence_percent__JHU,prevalence_percent__OHSU,prevalence_percent__RUSH,prevalence_percent__Sunnybrook,prevalence_percent__UCMC,prevalence_percent__UMN,prevalence_percent__UPenn,prevalence_percent__ALL,per_1000_hospitalizations__Emory,per_1000_hospitalizations__JHU,per_1000_hospitalizations__OHSU,per_1000_hospitalizations__RUSH,per_1000_hospitalizations__Sunnybrook,per_1000_hospitalizations__UCMC,per_1000_hospitalizations__UMN,per_1000_hospitalizations__UPenn,per_1000_hospitalizations__ALL
renal_disease,74,233,5,7,1,89,121,156,686,43.53,33.92,10.64,38.89,50,35.74,40.6,25.83,33.060241,435.3,339.2,106.4,388.9,500,357.4,406.0,258.3,330.60241
congestive_heart_failure,57,260,17,4,0,111,121,122,692,33.53,37.85,36.17,22.22,0,44.58,40.6,20.2,33.349398,335.3,378.5,361.7,222.2,0,445.8,406.0,202.0,333.493976
diabetes_with_complications,41,163,2,3,0,48,55,89,401,24.12,23.73,4.26,16.67,0,19.28,18.46,14.74,19.325301,241.2,237.3,42.6,166.7,0,192.8,184.6,147.4,193.253012
chronic_pulmonary_disease,41,206,10,2,0,77,93,118,547,24.12,29.99,21.28,11.11,0,30.92,31.21,19.54,26.361446,241.2,299.9,212.8,111.1,0,309.2,312.1,195.4,263.614458
myocardial_infarction,28,118,8,1,1,30,55,54,295,16.47,17.18,17.02,5.56,50,12.05,18.46,8.94,14.216867,164.7,171.8,170.2,55.6,500,120.5,184.6,89.4,142.168675
dementia,19,17,7,2,0,38,45,45,173,11.18,2.47,14.89,11.11,0,15.26,15.1,7.45,8.337349,111.8,24.7,148.9,111.1,0,152.6,151.0,74.5,83.373494
peripheral_vascular_disease,18,79,5,3,0,14,46,69,234,10.59,11.5,10.64,16.67,0,5.62,15.44,11.42,11.277108,105.9,115.0,106.4,166.7,0,56.2,154.4,114.2,112.771084
metastatic_solid_tumor,17,67,3,2,1,26,27,65,208,10.0,9.75,6.38,11.11,50,10.44,9.06,10.76,10.024096,100.0,97.5,63.8,111.1,500,104.4,90.6,107.6,100.240964
cerebrovascular_disease,16,65,3,2,1,22,25,36,170,9.41,9.46,6.38,11.11,50,8.84,8.39,5.96,8.192771,94.1,94.6,63.8,111.1,500,88.4,83.9,59.6,81.927711
diabetes_uncomplicated,16,81,8,2,2,39,51,86,285,9.41,11.79,17.02,11.11,100,15.66,17.11,14.24,13.73494,94.1,117.9,170.2,111.1,1000,156.6,171.1,142.4,137.349398
cancer,13,60,7,1,0,23,26,70,200,7.65,8.73,14.89,5.56,0,9.24,8.72,11.59,9.638554,76.5,87.3,148.9,55.6,0,92.4,87.2,115.9,96.385542
mild_liver_disease,7,41,5,1,0,13,18,50,135,4.12,5.97,10.64,5.56,0,5.22,6.04,8.28,6.506024,41.2,59.7,106.4,55.6,0,52.2,60.4,82.8,65.060241
peptic_ulcer_disease,6,10,0,0,0,8,4,4,32,3.53,1.46,0.0,0.0,0,3.21,1.34,0.66,1.542169,35.3,14.6,0.0,0.0,0,32.1,13.4,6.6,15.421687
aids,4,0,1,0,0,5,0,4,14,2.35,0.0,2.13,0.0,0,2.01,0.0,0.66,0.674699,23.5,0.0,21.3,0.0,0,20.1,0.0,6.6,6.746988
hemiplegia,4,22,1,1,0,14,12,14,68,2.35,3.2,2.13,5.56,0,5.62,4.03,2.32,3.277108,23.5,32.0,21.3,55.6,0,56.2,40.3,23.2,32.771084
connective_tissue_disease,2,33,1,1,0,9,16,21,83,1.18,4.8,2.13,5.56,0,3.61,5.37,3.48,4.0,11.8,48.0,21.3,55.6,0,36.1,53.7,34.8,40.0
moderate_severe_liver_disease,2,19,0,1,0,6,7,13,48,1.18,2.77,0.0,5.56,0,2.41,2.35,2.15,2.313253,11.8,27.7,0.0,55.6,0,24.1,23.5,21.5,23.13253
