Variable,Overall__Emory,Overall__JHU,Overall__MIMIC,Overall__Michigan,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
  First admission location: ward,"15,243 (15.1%)","45,853 (28.1%)","31,273 (34.8%)","5,803 (33.9%)","7,329 (5.8%)","8,657 (12.7%)","4,810 (7.2%)","6,479 (11.0%)","4,828 (9.7%)","32,943 (42.6%)","11,578 (5.3%)","57,811 (29.2%)","232,607 (18.8%)"
  First admission location: icu,"9,366 (9.3%)","38,544 (23.6%)","30,412 (33.9%)","4,164 (24.3%)","10,644 (8.4%)","15,287 (22.4%)","14,246 (21.4%)","12,415 (21.1%)","4,469 (9.0%)","26,382 (34.1%)","8,718 (4.0%)","73,887 (37.3%)","248,534 (20.1%)"
  First admission location: procedural,"7,725 (7.7%)","20,176 (12.4%)","2,473 (2.8%)","1,798 (10.5%)","22,610 (17.9%)","14,748 (21.6%)","10,726 (16.1%)","2,912 (4.9%)","7,365 (14.8%)","10,535 (13.6%)","24,838 (11.3%)","27,218 (13.7%)","153,124 (12.4%)"
  First admission location: other,"3,080 (3.1%)","7,661 (4.7%)","8,557 (9.5%)",316 (1.8%),"2,995 (2.4%)","1,765 (2.6%)","4,042 (6.1%)","2,208 (3.8%)",94 (0.2%),"6,934 (9.0%)","2,173 (1.0%)","1,269 (0.6%)","41,032 (3.3%)"
  Admission type: ed,"84,294 (83.5%)","141,864 (87.0%)","78,825 (87.7%)","10,003 (58.4%)","96,579 (76.4%)","32,272 (47.3%)","41,384 (62.3%)","40,285 (68.4%)","36,394 (73.4%)","51,261 (66.3%)","180,043 (82.1%)","122,293 (61.7%)","915,497 (74.1%)"
  Admission type: osh,"12,281 (12.2%)","13,081 (8.0%)",,"2,612 (15.2%)","13,754 (10.9%)","16,390 (24.0%)",46 (0.1%),,"8,935 (18.0%)",28 (0.0%),"8,838 (4.0%)","26,949 (13.6%)","102,914 (9.7%)"
  Admission type: facility,"4,185 (4.1%)",<10,,,"7,176 (5.7%)",44 (0.1%),"10,226 (15.4%)",,"1,927 (3.9%)",57 (0.1%),"11,839 (5.4%)","3,054 (1.5%)","38,508 (4.5%)"
  Admission type: direct,96 (0.1%),"7,185 (4.4%)",233 (0.3%),66 (0.4%),"7,060 (5.6%)","8,225 (12.0%)","6,165 (9.3%)",,"2,327 (4.7%)","19,179 (24.8%)","9,148 (4.2%)","1,684 (0.9%)","61,368 (5.3%)"
  Admission type: other,48 (0.0%),895 (0.5%),"10,774 (12.0%)","4,454 (26.0%)","1,905 (1.5%)","11,332 (16.6%)","8,618 (13.0%)","18,582 (31.6%)",13 (0.0%),"6,743 (8.7%)","9,363 (4.3%)","44,083 (22.2%)","116,810 (9.5%)"
"ICU length of stay (days), median [Q1, Q3]","1.9 [1.0, 3.5]","1.7 [0.9, 3.1]","1.4 [0.8, 2.8]","2.2 [1.1, 4.2]","1.5 [0.8, 2.8]","1.5 [0.8, 2.8]","1.8 [0.9, 3.1]","2.1 [1.0, 4.5]","1.8 [1.0, 3.3]","1.0 [0.4, 1.9]","1.6 [0.8, 3.0]","1.7 [0.9, 3.0]","1.6 [0.4, 4.5]"
"Hospital length of stay (days), median [Q1, Q3]","6.0 [3.0, 11.8]","6.5 [3.5, 12.3]","7.0 [4.2, 12.4]","7.3 [4.2, 13.4]","6.1 [3.2, 11.3]","5.9 [2.8, 11.1]","5.6 [3.0, 10.3]","6.8 [2.5, 14.0]","7.3 [3.9, 13.7]","7.4 [4.2, 14.1]","4.7 [2.3, 8.7]","6.0 [3.2, 11.1]","6.1 [2.3, 14.1]"
"Charlson Comorbidity Index, median [Q1, Q3]","2 [1, 4]","2 [1, 4]","2 [0, 4]","2 [1, 4]","2 [1, 4]","2 [0, 4]","3 [1, 5]","2 [0, 6]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2 [1, 4]","2.1 [0, 6]"
"Comorbidities, n (%)",,,,,,,,,,,,,
  Congestive Heart Failure,"38,720 (38.4%)","50,101 (30.7%)","13,272 (14.8%)","6,202 (36.2%)","44,712 (35.4%)","17,383 (25.5%)","20,473 (30.8%)","12,161 (20.7%)","17,000 (34.3%)","17,989 (23.3%)","69,344 (31.6%)","68,069 (34.4%)","375,426 (30.4%)"
  Renal Disease,"34,811 (34.5%)","44,391 (27.2%)","10,587 (11.8%)","5,367 (31.3%)","37,624 (29.7%)","12,912 (18.9%)","20,766 (31.3%)","7,981 (13.6%)","13,029 (26.3%)","18,843 (24.4%)","63,679 (29.0%)","55,356 (27.9%)","325,346 (26.3%)"
  Chronic Pulmonary Disease,"27,061 (26.8%)","45,835 (28.1%)","10,156 (11.3%)","5,066 (29.6%)","32,950 (26.1%)","15,241 (22.3%)","17,134 (25.8%)","10,925 (18.6%)","14,239 (28.7%)","17,272 (22.4%)","66,481 (30.3%)","55,893 (28.2%)","318,253 (25.8%)"
  Diabetes With Complications,"23,683 (23.5%)","30,980 (19.0%)","6,980 (7.8%)","3,561 (20.8%)","24,799 (19.6%)","8,795 (12.9%)","15,631 (23.5%)",,"8,173 (16.5%)","8,238 (10.7%)","37,037 (16.9%)","35,450 (17.9%)","203,327 (17.3%)"
  Peripheral Vascular Disease,"16,417 (16.3%)","19,585 (12.0%)","5,056 (5.6%)","3,314 (19.3%)","25,551 (20.2%)","7,745 (11.3%)","12,871 (19.4%)","9,765 (16.6%)","3,684 (7.4%)","12,413 (16.1%)","27,415 (12.5%)","34,468 (17.4%)","178,284 (14.4%)"
  Diabetes Uncomplicated,"15,918 (15.8%)","24,469 (15.0%)","6,892 (7.7%)","2,027 (11.8%)","19,274 (15.2%)","9,983 (14.6%)","7,936 (11.9%)","17,736 (30.1%)","6,294 (12.7%)","12,543 (16.2%)","37,327 (17.0%)","32,457 (16.4%)","192,856 (15.6%)"
  Cerebrovascular Disease,"15,730 (15.6%)","23,462 (14.4%)","6,465 (7.2%)","2,113 (12.3%)","28,962 (22.9%)","10,234 (15.0%)","17,135 (25.8%)","21,552 (36.6%)","5,769 (11.6%)","18,319 (23.7%)","32,137 (14.7%)","27,382 (13.8%)","209,260 (16.9%)"
  Myocardial Infarction,"13,845 (13.7%)","27,637 (17.0%)","8,130 (9.1%)","2,394 (14.0%)","22,812 (18.0%)","9,195 (13.5%)","14,144 (21.3%)","13,248 (22.5%)","4,715 (9.5%)","9,830 (12.7%)","34,388 (15.7%)","25,975 (13.1%)","186,313 (15.1%)"
  Cancer,"8,182 (8.1%)","17,953 (11.0%)","3,966 (4.4%)","1,884 (11.0%)","14,947 (11.8%)","7,580 (11.1%)","7,474 (11.2%)","1,147 (1.9%)","3,540 (7.1%)","14,259 (18.5%)","20,315 (9.3%)","19,171 (9.7%)","120,418 (9.7%)"
  Metastatic Solid Tumor,"7,033 (7.0%)","16,172 (9.9%)","3,634 (4.0%)","1,592 (9.3%)","12,802 (10.1%)","4,891 (7.2%)","6,499 (9.8%)","19,171 (32.6%)","3,439 (6.9%)","8,739 (11.3%)","13,646 (6.2%)","16,078 (8.1%)","113,696 (9.2%)"
  Dementia,"6,681 (6.6%)","2,329 (1.4%)","2,851 (3.2%)",641 (3.7%),"7,517 (5.9%)","3,044 (4.5%)","3,180 (4.8%)","5,328 (9.1%)","2,190 (4.4%)","2,715 (3.5%)","16,130 (7.4%)","10,529 (5.3%)","63,135 (5.1%)"
