,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Total
,Female,Male,Female,Male,
Asian,15451,17883,180,215,33729
Black or African American,68566,67058,524,492,136640
White,193938,236234,7289,9036,446497
Other,11103,13882,12735,16407,54127
Total,289058,335057,20728,26150,670993
