Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,100831,162472,42782,126284,67370,60088,57222,42618,77264,219231,198037,1154199
Total comorbidities across all patients,229680,337350,88900,306271,122543,161910,128133,91601,165084,464204,419201,2514877
Average comorbidities per hospitalization,2.28,2.08,2.08,2.43,1.82,2.69,2.24,2.15,2.14,2.12,2.12,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,renal_disease,cerebrovascular_disease,congestive_heart_failure,renal_disease,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,384.0,308.4,310.4,354.1,258.0,345.6,376.7,398.9,243.9,316.3,343.7,
