hour_bin,median__Emory,median__JHU,median__MIMIC,median__Michigan,median__NU,median__OHSU,median__RUSH,median__Sunnybrook,median__UCMC,median__UCSF,median__UMN,median__UPenn,median__ALL,q25__Emory,q25__JHU,q25__MIMIC,q25__Michigan,q25__NU,q25__OHSU,q25__RUSH,q25__Sunnybrook,q25__UCMC,q25__UCSF,q25__UMN,q25__UPenn,q25__ALL,q75__Emory,q75__JHU,q75__MIMIC,q75__Michigan,q75__NU,q75__OHSU,q75__RUSH,q75__Sunnybrook,q75__UCMC,q75__UCSF,q75__UMN,q75__UPenn,q75__ALL,mean__Emory,mean__JHU,mean__MIMIC,mean__Michigan,mean__NU,mean__OHSU,mean__RUSH,mean__Sunnybrook,mean__UCMC,mean__UCSF,mean__UMN,mean__UPenn,mean__ALL,std__Emory,std__JHU,std__MIMIC,std__Michigan,std__NU,std__OHSU,std__RUSH,std__Sunnybrook,std__UCMC,std__UCSF,std__UMN,std__UPenn,std__ALL,count__Emory,count__JHU,count__MIMIC,count__Michigan,count__NU,count__OHSU,count__RUSH,count__Sunnybrook,count__UCMC,count__UCSF,count__UMN,count__UPenn,count__ALL
48,12.0,,,16.0,15.0,,24.0,14.000005,16.0,,,18.0,15.826348,10.0,,,13.0,12.0,,21.0,12.0,15.0,,,15.0,10.0,18.0,,,20.0,20.0,,27.5,17.999997,19.5,,,21.0,27.5,13.714286,,,16.538462,16.439024,,25.133333,16.478262,17.046512,,,18.0,17.149701,4.01426,,,5.206012,5.334083,,5.65517,5.476143,3.664199,,,4.335897,4.710834,21.0,,,13.0,41,,15.0,23.0,43,,,11.0,167
49,12.0,,,,18.0,,22.0,14.000005,15.0,,,15.0,16.151725,9.0,,,,15.0,,18.0,12.0,15.0,,,13.5,9.0,15.0,,,,20.0,,24.0,17.999997,19.0,,,17.0,24.0,12.2,,,,17.815789,,22.0,16.700001,16.263158,,,15.5,16.868966,4.96938,,,,4.985684,,4.725816,5.43962,3.753803,,,3.135815,4.56158,20.0,,,,38,,19.0,20.0,38,,,10.0,145
50,11.0,,,15.0,20.0,,22.0,14.000005,15.0,,,15.0,15.608975,10.0,,,10.0,15.0,,20.0,12.0,14.75,,,14.5,10.0,14.0,,,16.5,20.0,,23.0,17.999997,19.25,,,17.0,23.0,12.653846,,,14.8,18.333333,,22.411765,16.640001,16.055556,,,16.0,16.416667,6.430815,,,5.69025,4.487018,,4.704503,6.019967,4.208457,,,4.219005,5.151428,26.0,,,20.0,21,,17.0,25.0,36,,,11.0,156
51,12.0,,,12.0,16.0,,21.0,14.000005,15.0,,,,15.278572,12.0,,,10.0,13.5,,18.0,12.0,15.0,,,,10.0,18.0,,,20.0,21.0,,25.5,17.999997,18.0,,,,25.5,15.411765,,,14.384615,17.666667,,22.7,16.222223,15.977778,,,,17.078571,5.420549,,,6.131048,5.406549,,5.381254,5.856676,3.671072,,,,4.971952,17.0,,,13.0,27,,20.0,18.0,45,,,,140
52,14.0,,,15.0,15.0,,,15.0,15.5,,,,14.935252,10.0,,,10.0,12.0,,,12.0,15.0,,,,10.0,18.0,,,20.0,20.0,,,20.0,19.25,,,,20.0,14.074074,,,14.714286,15.918919,,,17.444445,16.75,,,,15.791367,4.349411,,,6.27808,5.235447,,,6.089742,4.305312,,,,5.090589,27.0,,,21.0,37,,,18.0,36,,,,139
53,16.0,,,10.0,17.0,,22.0,14.000005,15.0,,,18.0,16.182928,12.0,,,6.5,15.0,,18.5,12.0,10.0,,,14.0,6.5,24.0,,,13.0,20.0,,23.75,17.999997,18.0,,,22.0,24.0,17.176471,,,10.0,17.151515,,21.772727,16.0,14.673469,,,18.181818,16.47561,8.247994,,,5.272571,5.056686,,4.297639,5.549774,4.293346,,,4.956172,5.128476,17.0,,,11.0,33,,22.0,21.0,49,,,11.0,164
54,10.0,,,,15.0,,25.0,14.000005,16.0,,,,16.08871,9.5,,,,12.25,,20.0,12.0,15.0,,,,9.5,13.0,,,,18.75,,30.0,17.999997,18.0,,,,30.0,11.3125,,,,15.333333,,25.052632,16.705883,16.428571,,,,16.862903,4.142765,,,,5.28063,,6.096207,5.742002,3.379586,,,,4.678127,16.0,,,,30,,19.0,17.0,42,,,,124
55,16.0,,,10.0,15.5,,21.0,14.000005,15.0,,,,14.800001,12.0,,,9.5,12.0,,20.0,12.0,15.0,,,,9.5,24.0,,,15.0,19.5,,22.75,20.0,18.0,,,,24.0,17.588235,,,12.526316,16.566667,,21.5,16.416667,15.714286,,,,16.244445,6.662008,,,6.809866,4.492778,,3.535534,6.61958,4.011538,,,,5.274474,17.0,,,19.0,30,,10.0,24.0,35,,,,135
56,14.0,,,12.0,15.0,,23.5,14.000005,16.0,,,,15.626867,14.0,,,7.0,14.25,,18.0,12.0,15.0,,,,7.0,18.0,,,13.5,22.0,,26.5,15.999995,19.5,,,,26.5,15.25,,,10.909091,17.323529,,22.5,15.636365,16.777778,,,,16.656717,3.578316,,,5.243177,5.855433,,4.857983,5.187398,4.466399,,,,4.888676,24.0,,,11.0,34,,16.0,22.0,27,,,,134
57,12.0,,,18.0,16.5,,21.0,14.000005,15.5,,,14.5,15.782259,10.0,,,11.5,15.0,,18.0,12.0,15.0,,,12.25,10.0,18.0,,,21.5,20.0,,24.5,18.999999,19.0,,,19.5,24.5,14.153846,,,17.1,17.558824,,21.666667,16.26087,16.727273,,,15.2,16.983871,4.200122,,,7.202623,4.418907,,3.601347,5.127621,4.85192,,,4.049691,4.719849,13.0,,,10.0,34,,12.0,23.0,22,,,10.0,124
58,16.0,,,10.0,15.0,,20.0,15.999995,16.0,,,,15.346153,10.0,,,7.0,12.0,,18.0,13.000003,15.0,,,,7.0,18.0,,,15.0,20.0,,22.0,20.0,18.0,,,,22.0,16.0,,,11.176471,16.342857,,22.153846,17.052632,16.454545,,,,16.346154,5.354126,,,5.82275,5.764714,,5.899804,5.306953,3.800419,,,,5.179221,13.0,,,17.0,35,,13.0,19.0,33,,,,130
59,16.0,,,12.0,15.0,,20.0,14.000005,16.0,,,,15.474075,13.0,,,10.0,10.0,,17.5,12.0,15.0,,,,10.0,18.0,,,16.0,18.0,,24.5,20.0,18.5,,,,24.5,15.473684,,,13.217391,15.28,,21.7,16.352942,16.774194,,,,16.385185,4.312365,,,6.089906,4.623491,,5.420235,6.009797,4.984708,,,,5.205091,19.0,,,23.0,25,,20.0,17.0,31,,,,135
60,17.0,,,16.0,18.0,,20.0,15.999995,18.0,,,,17.465753,14.0,,,12.75,14.75,,20.0,13.000003,15.0,,,,12.75,19.5,,,18.25,22.0,,23.0,20.0,20.0,,,,23.0,16.823529,,,15.666667,17.8125,,22.615385,17.217392,17.15625,,,,17.59589,4.26025,,,3.938928,4.999597,,5.605629,5.282532,3.768369,,,,4.568918,34.0,,,12.0,32,,13.0,23.0,32,,,,146
62,14.0,,,13.0,18.0,,22.0,15.499994,16.0,,,,16.346666,10.0,,,9.0,15.0,,18.0,12.500001,15.0,,,,9.0,20.25,,,16.0,20.0,,28.0,19.499999,18.0,,,,28.0,16.9375,,,12.823529,17.571429,,24.0,16.538462,16.325581,,,,16.986667,9.969746,,,4.612961,4.513286,,7.648529,6.62861,3.503202,,,,5.455425,16.0,,,17.0,35,,13.0,26.0,43,,,,150
63,15.0,,,11.0,16.0,,20.0,14.999993,15.0,,,,15.12676,14.0,,,8.0,12.0,,20.0,12.500001,15.0,,,,8.0,19.0,,,17.5,22.0,,27.0,20.0,18.0,,,,27.0,16.4,,,12.894737,17.310345,,22.846154,16.727273,15.681818,,,,16.535211,3.699421,,,6.830444,5.451759,,4.793158,5.32006,3.017567,,,,4.616169,15.0,,,19.0,29,,13.0,22.0,44,,,,142
64,12.0,,,10.0,15.0,,22.0,15.999995,15.0,,,,14.927006,10.0,,,9.5,15.0,,20.0,14.000005,15.0,,,,9.5,15.75,,,13.5,19.5,,26.75,20.0,18.0,,,,26.75,14.0,,,11.6,16.366667,,23.928571,17.190477,15.820513,,,,16.277372,5.770106,,,4.516636,4.845783,,5.730677,5.32559,3.589985,,,,4.737673,18.0,,,15.0,30,,14.0,21.0,39,,,,137
65,18.0,,,14.0,15.0,,20.0,15.0,15.0,,,,15.806452,16.0,,,10.0,14.5,,18.0,12.0,15.0,,,,10.0,20.0,,,16.5,20.0,,21.5,17.999997,18.0,,,,21.5,20.333333,,,14.181818,16.057143,,20.466667,16.818182,15.827586,,,,16.919355,6.124961,,,8.097138,4.193432,,4.657815,6.223125,3.444135,,,,4.967694,12.0,,,11.0,35,,15.0,22.0,29,,,,124
66,18.0,,,11.0,17.5,,22.0,14.000005,15.0,,,14.5,15.733814,14.0,,,7.75,15.0,,20.0,12.0,15.0,,,10.5,7.75,21.0,,,14.25,20.0,,25.0,17.999997,18.0,,,15.0,25.0,16.642857,,,11.8125,17.777778,,21.8,15.809525,15.6,,,14.7,16.187051,5.168055,,,4.874679,4.180565,,3.707136,6.53926,2.972602,,,5.056349,4.337122,14.0,,,16.0,18,,15.0,21.0,45,,,10.0,139
67,14.0,,,10.0,18.0,,21.5,14.000005,15.0,,,,15.53077,12.0,,,8.0,15.0,,18.5,12.0,11.25,,,,8.0,15.25,,,12.0,20.0,,22.75,17.999997,16.75,,,,22.75,15.75,,,11.789474,17.828571,,20.928571,16.375001,14.566667,,,,16.092308,7.019022,,,5.202339,4.018236,,2.702258,5.897741,3.802752,,,,4.6005,16.0,,,19.0,35,,14.0,16.0,30,,,,130
68,14.5,,,13.5,16.0,,20.0,15.999995,15.0,,,,15.712121,10.0,,,8.0,15.0,,19.5,12.0,15.0,,,,8.0,18.0,,,17.5,20.0,,23.75,17.999997,18.0,,,,23.75,15.923077,,,13.357143,16.967742,,21.875,16.941177,15.357143,,,,16.628788,7.013832,,,7.550926,3.987346,,4.333974,5.662052,3.176468,,,,5.04712,26.0,,,14.0,31,,16.0,17.0,28,,,,132
70,12.0,,,11.5,15.0,,20.0,14.000005,15.0,,,,14.338462,10.0,,,7.5,15.0,,18.0,12.0,15.0,,,,7.5,19.0,,,13.0,19.25,,25.0,17.999997,18.0,,,,25.0,16.263158,,,11.0,16.714286,,20.615385,16.941178,15.741935,,,,15.869231,9.602327,,,4.503967,4.327835,,4.330867,7.004201,3.750269,,,,5.341091,19.0,,,22.0,28,,13.0,17.0,31,,,,130
71,18.0,,,8.0,15.0,,20.0,14.000005,15.0,,,,14.858268,14.0,,,6.0,14.0,,17.0,12.0,15.0,,,,6.0,20.0,,,19.0,20.0,,21.0,17.999997,17.25,,,,21.0,17.666667,,,11.631579,17.034483,,19.153846,16.769232,15.40625,,,,16.110236,4.861413,,,6.229058,5.301501,,3.670744,6.405127,3.998866,,,,4.985318,21.0,,,19.0,29,,13.0,13.0,32,,,,127
72,14.0,,,14.0,18.0,,21.0,14.000005,16.0,,,,16.210938,12.0,,,10.0,15.0,,19.0,12.0,15.0,,,,10.0,18.0,,,19.0,20.0,,22.0,17.999997,18.0,,,,22.0,16.47619,,,13.764706,17.068966,,20.933333,16.266667,16.741935,,,,16.8125,7.00442,,,5.782835,4.463591,,2.711527,5.650116,4.531135,,,,5.005742,21.0,,,17.0,29,,15.0,15.0,31,,,,128
73,16.0,,,11.0,17.0,,21.0,14.000005,15.5,,,,16.215518,15.0,,,10.0,15.0,,20.0,13.000003,15.0,,,,10.0,18.0,,,16.0,20.0,,26.0,16.999996,18.0,,,,26.0,15.866667,,,13.909091,17.56,,22.4,16.133334,15.4,,,,17.086207,3.795988,,,6.220202,5.378042,,4.321306,5.527421,4.461328,,,,4.853365,15.0,,,11.0,25,,20.0,15.0,30,,,,116
74,16.0,,,11.0,16.0,,,15.0,15.5,,,,14.833333,10.0,,,10.0,15.0,,,12.500001,14.0,,,,10.0,18.0,,,13.0,20.0,,,17.999997,18.0,,,,20.0,14.894737,,,11.647059,17.3,,,17.428572,15.730769,,,,15.416667,5.321808,,,4.48527,4.623737,,,7.078835,4.257301,,,,4.996169,19.0,,,17.0,20,,,14.0,26,,,,96
75,14.0,,,11.0,15.0,,19.0,15.999995,15.0,,,,14.785123,14.0,,,8.5,12.5,,18.0,12.500001,14.25,,,,8.5,17.0,,,17.0,20.0,,20.5,19.499999,18.0,,,,20.5,16.125,,,12.631579,16.966667,,20.416667,17.000001,15.076923,,,,16.115703,4.16133,,,5.688297,5.671972,,4.501683,5.625573,4.594981,,,,5.120397,16.0,,,19.0,30,,12.0,18.0,26,,,,121
76,15.5,,,14.0,16.0,,22.0,14.000005,15.0,,,,15.726496,14.0,,,10.0,15.0,,20.0,12.0,15.0,,,,10.0,18.5,,,20.0,19.0,,23.5,19.499999,20.0,,,,23.5,15.75,,,14.466667,16.516129,,22.454545,16.750002,16.214286,,,,16.666667,3.974921,,,6.300416,3.914681,,4.227615,6.104644,4.323554,,,,4.655536,16.0,,,15.0,31,,11.0,16.0,28,,,,117
77,11.0,,,11.0,15.0,,20.0,15.0,15.0,,,,14.508333,10.0,,,5.5,13.0,,20.0,13.500004,14.0,,,,5.5,16.0,,,17.5,18.5,,22.0,20.0,16.0,,,,22.0,12.9,,,11.545455,15.483871,,20.846154,17.000001,14.551724,,,,15.25,4.459172,,,7.802098,5.10471,,4.54324,5.656855,4.388184,,,,5.084014,20.0,,,11.0,31,,13.0,16.0,29,,,,120
78,12.0,,,9.0,18.0,,,14.000005,15.0,,,,14.240742,12.0,,,7.5,15.0,,,12.0,14.5,,,,7.5,15.0,,,12.5,20.0,,,18.999999,18.0,,,,20.0,14.0,,,9.421053,17.633333,,,16.210528,15.37037,,,,14.935186,3.89444,,,3.150234,4.213961,,,5.76945,4.011025,,,,4.21128,13.0,,,19.0,30,,,19.0,27,,,,108
79,16.0,,,,16.0,,,14.000005,15.0,,,,15.395834,14.0,,,,15.0,,,14.000005,15.0,,,,14.0,16.0,,,,20.0,,,18.999999,20.0,,,,20.0,14.947368,,,,16.823529,,,17.066668,16.535714,,,,16.40625,2.857226,,,,3.872753,,,5.548059,5.10252,,,,4.292212,19.0,,,,34,,,15.0,28,,,,96
80,14.0,,,15.0,15.0,,20.0,14.000005,16.0,,,,15.610688,13.0,,,11.0,15.0,,20.0,14.000005,15.0,,,,11.0,16.0,,,19.0,18.5,,24.0,18.999999,20.0,,,,24.0,14.473684,,,15.090909,16.84375,,21.352941,16.631581,16.393939,,,,16.793893,3.220911,,,5.088311,5.168823,,4.241774,5.166242,4.457714,,,,4.579728,19.0,,,11.0,32,,17.0,19.0,33,,,,131
82,14.0,,,,18.0,,21.0,16.999996,15.5,,,,16.999999,10.5,,,,15.0,,20.0,14.000005,15.0,,,,10.5,16.0,,,,20.0,,23.5,20.0,20.0,,,,23.5,15.611111,,,,17.333333,,21.444444,17.57143,16.607143,,,,17.588235,6.069586,,,,3.143892,,4.314438,5.272779,3.928427,,,,4.374321,18.0,,,,24,,18.0,14.0,28,,,,102
83,14.0,,,12.5,16.0,,,14.000005,16.0,,,,14.904348,14.0,,,8.0,14.0,,,14.000005,15.0,,,,8.0,20.0,,,15.0,20.0,,,20.0,19.0,,,,20.0,16.181818,,,12.75,16.560976,,,17.692309,16.826087,,,,16.139131,5.586006,,,5.385165,5.010233,,,6.920797,4.063722,,,,5.19922,22.0,,,16.0,41,,,13.0,23,,,,115
84,14.0,,,14.0,17.5,,,15.999995,15.5,,,,15.954545,12.0,,,11.0,15.0,,,14.000005,15.0,,,,11.0,16.0,,,17.75,20.0,,,18.999999,18.0,,,,20.0,14.153846,,,14.833333,17.575,,,17.2,15.666667,,,,16.3,3.933746,,,4.745013,5.183245,,,4.945416,4.261563,,,,4.703971,13.0,,,12.0,40,,,15.0,30,,,,110
85,16.0,,,,16.0,,24.0,14.000005,16.0,,,,16.613862,13.0,,,,12.0,,19.5,12.0,14.25,,,,12.0,17.0,,,,20.0,,25.0,20.0,18.5,,,,25.0,15.636364,,,,16.558824,,21.818182,17.384617,15.625,,,,16.841584,4.631905,,,,4.710988,,5.036232,7.089176,5.008058,,,,5.138022,11.0,,,,34,,11.0,13.0,32,,,,101
87,14.0,,,12.0,18.0,,,17.999997,15.0,,,,15.942307,14.0,,,10.0,15.0,,,13.500004,14.25,,,,10.0,15.25,,,14.0,20.0,,,20.0,18.0,,,,20.0,13.875,,,11.923077,18.171429,,,17.375,15.083333,,,,15.894231,2.093641,,,6.317456,5.032165,,,5.149434,4.392847,,,,4.611252,16.0,,,13.0,35,,,16.0,24,,,,104
88,16.0,,,12.0,15.0,,,,15.0,,,,14.738318,13.5,,,10.0,12.0,,,,15.0,,,,10.0,18.5,,,18.5,19.0,,,,18.0,,,,19.0,15.8,,,13.75,15.85,,,,15.032258,,,,15.28972,4.09878,,,5.471136,4.726087,,,,3.745966,,,,4.436282,20.0,,,16.0,40,,,,31,,,,107
89,15.0,,,15.0,18.0,,22.0,14.000005,16.0,,,,16.910715,10.0,,,12.0,14.25,,20.0,12.0,15.0,,,,10.0,20.0,,,20.0,20.0,,26.5,17.999997,18.0,,,,26.5,15.352941,,,16.0,17.533333,,23.4375,16.181818,16.26087,,,,17.446429,6.020187,,,7.596992,5.270172,,6.021835,6.030227,4.504719,,,,5.720479,17.0,,,15.0,30,,16.0,11.0,23,,,,112
90,12.0,,,,16.0,,22.0,15.999995,15.0,,,,16.094016,10.0,,,,12.0,,20.0,12.0,15.0,,,,10.0,14.0,,,,19.0,,26.0,18.999999,18.0,,,,26.0,12.933333,,,,16.025641,,22.470588,16.533333,15.612903,,,,16.521368,3.369329,,,,4.480879,,3.429972,7.909007,4.200614,,,,4.550922,15.0,,,,39,,17.0,15.0,31,,,,117
91,15.0,,,10.0,18.0,,,,15.0,,,,15.416667,14.0,,,7.5,15.0,,,,12.0,,,,7.5,16.0,,,14.0,20.0,,,,18.0,,,,20.0,15.285714,,,11.454545,17.9,,,,15.344828,,,,15.738095,3.70921,,,5.391913,5.261113,,,,4.295146,,,,4.686102,14.0,,,11.0,30,,,,29,,,,84
92,15.0,,,18.0,15.0,,,,15.0,,,20.0,15.913462,13.0,,,12.5,12.75,,,,15.0,,,10.5,10.5,16.5,,,20.5,20.0,,,,18.0,,,20.0,20.5,14.6,,,17.066667,16.076923,,,,15.30303,,,17.0,15.778846,3.775266,,,5.324695,3.87735,,,,3.686842,,,7.363574,4.341234,20.0,,,15.0,26,,,,33,,,10.0,104
93,16.0,,,,16.0,,20.0,15.0,15.0,,,,16.282828,11.0,,,,15.0,,20.0,12.500001,12.75,,,,11.0,24.0,,,,20.0,,26.0,17.999997,18.0,,,,26.0,17.466667,,,,17.375,,22.125,16.8,14.961538,,,,17.464646,6.479271,,,,6.009401,,4.883646,6.05163,4.312593,,,,5.457293,15.0,,,,32,,16.0,10.0,26,,,,99
94,14.0,,,12.0,15.0,,22.0,,15.0,,,,15.224299,11.0,,,10.0,12.0,,17.5,,15.0,,,,10.0,18.75,,,13.5,20.0,,25.0,,18.0,,,,25.0,14.888889,,,11.642857,15.925,,22.083333,,15.73913,,,,15.841121,4.227207,,,3.248837,5.346398,,6.444989,,3.13655,,,,4.531868,18.0,,,14.0,40,,12.0,,23,,,,107
95,16.0,,,12.0,18.0,,,15.999995,15.0,,,,15.580645,14.0,,,10.0,15.0,,,12.0,15.0,,,,10.0,17.5,,,19.0,22.0,,,16.999996,18.0,,,,22.0,15.636364,,,14.071429,17.714286,,,16.363635,16.04,,,,16.064516,3.632465,,,5.210408,4.890223,,,5.852739,3.168596,,,,4.291932,22.0,,,14.0,21,,,11.0,25,,,,93
96,12.0,,,15.0,15.0,,,17.999997,16.0,,,,14.90566,10.0,,,12.0,14.5,,,14.500003,15.0,,,,10.0,14.0,,,20.0,20.0,,,20.0,20.0,,,,20.0,13.28,,,16.0,16.451613,,,17.857142,16.956522,,,,15.943396,5.095096,,,5.642104,4.380553,,,5.230932,4.072951,,,,4.749366,25.0,,,13.0,31,,,14.0,23,,,,106
98,14.0,,,14.0,18.0,,22.0,,17.0,,,,17.171717,10.0,,,12.0,15.0,,20.0,,15.0,,,,10.0,20.0,,,20.0,20.5,,26.5,,20.0,,,,26.5,15.25,,,15.230769,18.25,,23.166667,,16.966667,,,,17.69697,5.412528,,,5.904149,5.174379,,4.783178,,4.238439,,,,4.968037,12.0,,,13.0,32,,12.0,,30,,,,99
99,16.0,,,13.0,16.0,,,20.0,15.0,,,,15.752688,15.0,,,8.0,12.0,,,15.000003,13.0,,,,8.0,22.0,,,20.0,20.0,,,21.500002,20.0,,,,22.0,18.545455,,,14.769231,16.885714,,,19.200001,16.791667,,,,17.010753,4.390071,,,8.01201,6.037975,,,5.902919,4.549048,,,,5.720241,11.0,,,13.0,35,,,10.0,24,,,,93
100,16.0,,,,15.0,,20.5,16.000001,18.0,,,,16.855769,13.0,,,,12.0,,20.0,12.500001,15.0,,,,12.0,20.0,,,,18.0,,26.25,19.499999,20.0,,,,26.25,16.3,,,,15.575758,,22.5625,17.400001,17.88,,,,17.519231,5.429937,,,,4.359116,,5.403317,6.25744,4.39052,,,,4.91577,20.0,,,,33,,16.0,10.0,25,,,,104
101,12.0,,,,15.0,,22.0,,15.5,,,,15.336735,10.0,,,,10.5,,21.0,,12.75,,,,10.0,14.5,,,,19.5,,25.5,,20.0,,,,25.5,11.736842,,,,15.238095,,22.727273,,16.692308,,,,15.785714,2.883711,,,,4.932765,,4.051936,,4.602341,,,,4.348967,19.0,,,,42,,11.0,,26,,,,98
102,12.0,,,10.0,16.0,,,17.999997,18.0,,,,15.340659,12.0,,,8.75,15.0,,,15.000003,15.0,,,,8.75,14.0,,,14.25,20.0,,,21.500002,20.0,,,,21.500002,12.9,,,12.25,17.592593,,,18.800001,17.571429,,,,16.263736,1.791957,,,5.208967,5.175826,,,5.902919,4.677991,,,,4.736519,10.0,,,16.0,27,,,10.0,28,,,,91
103,16.0,,,11.0,15.5,,20.0,,17.0,,,,15.413462,12.0,,,8.0,15.0,,17.0,,15.0,,,,8.0,20.0,,,14.0,20.0,,24.5,,20.0,,,,24.5,16.8,,,11.72,16.545455,,20.363636,,16.741935,,,,15.884615,4.329302,,,4.486275,4.479873,,5.104365,,3.906983,,,,4.354982,15.0,,,25.0,22,,11.0,,31,,,,104
104,15.0,,,14.0,18.0,,22.0,,15.0,,,,16.596774,12.0,,,10.0,14.25,,20.0,,15.0,,,,10.0,16.0,,,17.0,20.0,,26.0,,20.0,,,,26.0,15.24,,,13.363636,17.363636,,23.090909,,16.030303,,,,16.733871,4.780865,,,4.433345,5.016674,,3.935849,,3.302318,,,,4.365265,25.0,,,11.0,44,,11.0,,33,,,,124
105,14.0,,,12.5,15.5,,,,15.0,,,,14.744444,12.0,,,12.0,12.0,,,,12.0,,,,12.0,17.5,,,15.75,20.0,,,,19.0,,,,20.0,15.545455,,,14.5,16.25,,,,15.580645,,,,15.7,5.854291,,,5.900693,4.643736,,,,4.448027,,,,4.891876,11.0,,,12.0,36,,,,31,,,,90
106,14.0,,,14.0,15.0,,22.0,,15.0,,,,15.723577,10.5,,,10.0,12.0,,20.0,,12.0,,,,10.0,16.0,,,16.0,18.5,,24.0,,18.5,,,,24.0,14.454545,,,14.266667,16.0,,21.777778,,15.555556,,,,16.227642,4.973523,,,7.00476,5.327954,,3.573687,,4.108837,,,,4.855512,22.0,,,15.0,32,,18.0,,36,,,,123
107,12.0,,,12.0,18.0,,,,15.0,,,,14.9375,8.5,,,12.0,15.0,,,,12.0,,,,8.5,14.0,,,17.0,22.0,,,,18.5,,,,22.0,12.333333,,,14.384615,17.37931,,,,15.361111,,,,15.270833,4.130233,,,4.330867,5.479923,,,,4.050769,,,,4.535322,18.0,,,13.0,29,,,,36,,,,96
108,16.0,,,10.0,18.0,,,,15.0,,,,14.78022,14.0,,,8.0,15.0,,,,11.0,,,,8.0,22.0,,,12.0,20.0,,,,18.0,,,,22.0,17.6,,,11.095238,18.52,,,,14.914286,,,,15.318681,5.641119,,,4.515581,3.852705,,,,3.97323,,,,4.248561,10.0,,,21.0,25,,,,35,,,,91
111,15.0,,,11.0,15.0,,22.0,,15.0,,,,15.40566,14.0,,,8.0,13.5,,18.0,,12.0,,,,8.0,16.0,,,16.25,20.0,,24.0,,18.0,,,,24.0,15.538462,,,12.333333,17.419355,,21.230769,,15.027027,,,,16.245283,3.454837,,,5.836147,5.766421,,4.728528,,3.789507,,,,4.673475,13.0,,,12.0,31,,13.0,,37,,,,106
112,16.0,,,13.0,16.0,,,,15.0,,,,15.259259,12.0,,,7.25,15.0,,,,15.0,,,,7.25,20.0,,,15.75,20.0,,,,18.0,,,,20.0,16.0,,,12.857143,17.307692,,,,16.263158,,,,16.157407,4.358899,,,6.970897,3.927996,,,,3.293599,,,,4.16706,17.0,,,14.0,39,,,,38,,,,108
113,15.0,,,,15.0,,22.0,,16.0,,,,16.393258,13.0,,,,12.0,,22.0,,15.0,,,,12.0,16.0,,,,20.0,,24.0,,18.0,,,,24.0,15.4,,,,15.391304,,22.769231,,16.151515,,,,16.752809,5.265578,,,,5.015785,,2.521701,,3.483185,,,,4.139346,20.0,,,,23,,13.0,,33,,,,89
114,15.0,,,10.0,15.0,,,,15.5,,,,14.565657,12.0,,,7.0,12.0,,,,15.0,,,,7.0,16.0,,,15.0,17.0,,,,18.5,,,,18.5,14.235294,,,10.538462,14.16,,,,16.022727,,,,14.525253,3.288796,,,5.221995,4.288356,,,,4.106085,,,,4.158304,17.0,,,13.0,25,,,,44,,,,99
115,15.0,,,11.5,18.0,,,,15.0,,,,15.727273,14.0,,,10.0,15.0,,,,14.0,,,,10.0,16.0,,,19.75,20.0,,,,18.5,,,,20.0,15.076923,,,14.1,17.060606,,,,15.75,,,,15.954545,4.991018,,,5.989806,4.092214,,,,3.951317,,,,4.389392,13.0,,,10.0,33,,,,32,,,,88
117,16.0,,,11.0,16.0,,,,15.0,,,,14.797753,12.0,,,7.75,15.0,,,,14.5,,,,7.75,17.0,,,14.25,20.0,,,,18.0,,,,20.0,15.375,,,11.875,17.133333,,,,15.444444,,,,15.359551,3.630886,,,6.427804,4.392261,,,,3.91578,,,,4.476774,16.0,,,16.0,30,,,,27,,,,89
118,14.0,,,10.0,15.0,,,,15.0,,,,14.121951,12.0,,,7.5,12.0,,,,11.0,,,,7.5,16.0,,,15.5,19.0,,,,19.0,,,,19.0,14.588235,,,11.818182,15.387097,,,,14.826087,,,,14.585366,3.373774,,,6.289963,4.4398,,,,4.407145,,,,4.457828,17.0,,,11.0,31,,,,23,,,,82
119,15.0,,,13.5,15.0,,20.0,,15.0,,,,15.5,14.0,,,12.0,12.0,,18.0,,10.0,,,,10.0,16.0,,,16.0,16.5,,24.0,,15.5,,,,24.0,15.454545,,,13.357143,14.578947,,21.846154,,14.387097,,,,15.5,2.65946,,,4.79755,3.891812,,4.579777,,4.079848,,,,4.049734,11.0,,,14.0,19,,13.0,,31,,,,88
120,16.0,,,14.0,20.0,,,,15.0,,,,16.1,12.0,,,11.0,15.0,,,,15.0,,,,11.0,20.0,,,18.5,22.0,,,,15.0,,,,22.0,16.173913,,,14.0,18.222222,,,,14.984615,,,,15.753846,5.843817,,,5.867587,4.742065,,,,2.971176,,,,4.181414,23.0,,,15.0,27,,,,65,,,,130
121,16.0,,,,15.5,,22.0,,15.0,,,,16.261905,15.0,,,,12.0,,20.0,,15.0,,,,12.0,16.0,,,,20.0,,25.0,,15.25,,,,25.0,15.647059,,,,15.541667,,22.636364,,15.09375,,,,16.321429,3.081014,,,,5.241798,,3.695206,,3.246431,,,,3.841827,17.0,,,,24,,11.0,,32,,,,84
124,15.0,,,15.0,15.0,,22.0,,15.0,,,,15.77,14.0,,,13.0,12.0,,19.0,,15.0,,,,12.0,17.0,,,19.0,22.0,,23.0,,20.0,,,,23.0,15.263158,,,15.181818,16.666667,,21.090909,,15.815789,,,,16.4,3.24623,,,4.935953,5.256742,,4.948829,,3.470768,,,,4.126917,19.0,,,11.0,21,,11.0,,38,,,,100
