value,sunnybrook_probability,ucmc_probability
0.02,,0.02192113504186106
0.03,,0.026309622717879892
0.04,,0.03135851387912486
0.05,0.007553553514172748,
0.07,0.008834959913898483,
0.09,,0.06092754734666922
0.1,0.019558308206340153,
0.13,,0.08717326004984981
0.17,0.02548481280507167,0.11427110628235444
0.2,0.041789023180529364,0.13659700475064443
0.32,,0.23231290343196778
0.4,0.15248736156736237,
0.44,,0.32626062503994374
0.51,0.2388193076471299,
0.56,,0.4198035832214908
0.61,0.3378051419241891,
0.68,,0.513580878123602
0.7,0.4342056825877665,
0.8,0.5284705459184678,0.5991563878059692
0.9,0.6666713501695897,
0.92,,0.6800451630770542
1,0.7354373501864503,
1.08,,0.760678298289342
1.16,0.8034895843578496,
1.3,,0.8399054131782451
1.4,0.8954220632329096,
1.46,0.9163910425196496,
1.59,0.9377899673747186,
1.7,0.9583711526194364,
1.72,,0.9199207515817729
1.86,,0.9360260752859973
2,0.9800904290744368,
2.07,,0.9520461856372894
2.41,,0.9680662959885814
3.16,,0.9840224963251741
36.63,1.0,
49.36,,1.0
