value,emory_probability,nu_probability,ohsu_probability
0.0,0.37916501566946437,0.4807098567457772,0.40029927821137257
0.01,0.45513490148049424,0.48259568099208894,0.479754709230679
0.02,0.498793271135766,0.48398546076544796,0.5204360072765682
0.03,0.5334462015057094,0.4850630746204832,0.5487207323513879
0.04,0.5635243687187061,0.4859867436390849,0.5715920427204976
0.05,0.5876949677605273,0.48679923027581784,0.5886685053694032
0.06,0.611325240445229,0.48760744066709427,0.6057596385188663
0.07,0.6342710997442456,0.48821039127645927,0.6218678481309782
0.08,0.6554158711861965,0.48901860166773575,0.6361862566750778
0.09,0.6747955765282231,0.48959161855890526,0.6494043776773664
0.1,0.6911494542703793,0.687132777421424,0.696467343465759
0.11,0.70789957134109,0.6877015180671371,0.7084091309195469
0.12,0.7228486005547351,0.6882574299764807,0.7201015198638577
0.13,0.7371852598969778,0.688714988240325,0.7307523032685875
0.14,0.7509455711249595,0.6892537951678427,0.741637814682237
0.15,0.7632289903101473,0.689737010904426,0.7514523795551904
0.16,0.7757645617953244,0.6901817404319008,0.7608121589108621
0.17,0.7879399157090883,0.6905623262775283,0.7691156622263952
0.18,0.7984582687943518,0.6908873209322215,0.7777565870547503
0.19,0.80883253485105,0.691302116741501,0.7855759638518867
0.2,0.8184143222506394,0.8138079965790036,0.8099436652778593
0.21,0.8269514786931307,0.8141158862518708,0.8176016665688634
0.22,0.8361010050070242,0.8143596322428908,0.8242474033214013
0.23,0.844818270235222,0.8146803506521274,0.8310251745789566
0.24,0.8530672526205828,0.8148599529613,0.8369813978052931
0.25,0.8601995605345629,0.8151250801796023,0.8424388240126753
0.26,0.8669716508771298,0.8153474449433398,0.8482923537351095
0.27,0.8742480458196751,0.8155698097070772,0.8536470864385893
0.28,0.8801556139908505,0.815830660679923,0.8584590106214424
0.29,0.8858110298620366,0.816023091725465,0.8630215362948184
0.3,0.8909621411332445,0.8840196707290998,0.8773399448389179
0.31,0.8962573394330176,0.8842292067564678,0.8816090605011443
0.32,0.9010122113756709,0.8844045328201838,0.8856581186550085
0.33,0.9055509527754764,0.884562753902074,0.8892377207910334
0.34,0.9100536724181405,0.8846824887748557,0.8929493574320756
0.35,0.914016065703685,0.8847808424203549,0.8962062085558359
0.36,0.9175101761463924,0.8848920248022236,0.8999031746963206
0.37,0.9205360037462628,0.8849903784477229,0.9033507423273283
0.38,0.9231295702604373,0.8850759033568527,0.9057713749193123
0.39,0.9263355066460142,0.8851614282659824,0.9084560765213309
0.4,0.92896509491733,0.9237716484926235,0.9162314418167948
0.41,0.9319188790029178,0.9238058584562754,0.9189894959216008
0.42,0.934476423759951,0.9238443446653838,0.9216008450208321
0.43,0.9359533158027449,0.9238871071199487,0.9235520215949768
0.44,0.9376823601455279,0.9239213170836006,0.9257525966785987
0.45,0.9396995785454414,0.9239555270472525,0.9277184437533008
0.46,0.9421850797881921,0.9239982895018174,0.9295962678246582
0.47,0.9440582111595404,0.9240153944836433,0.9313273868904407
0.48,0.9458232772594647,0.9240538806927517,0.9331611994601255
0.49,0.9472281257879759,0.9240966431473167,0.9347896250220058
0.5,0.9493894312164547,0.947299550994227,0.9392054456898069
0.51,0.9509023450163899,0.947325208466966,0.9406284842438825
0.52,0.9523071935449011,0.9473636946760744,0.9417727832873658
0.53,0.9536039768019884,0.9473807996579003,0.9431664808403263
0.54,0.9547206512733691,0.9474064571306393,0.9447655654010915
0.55,0.9563776521018695,0.9474321146033783,0.9461886039551669
0.56,0.9577825006303807,,0.9473035619975354
0.57,0.959079283887468,0.9474449433397477,0.9484038495393463
0.58,0.9603760671445553,0.9474706008124867,0.9498122175928643
0.59,0.9617448939159252,0.9475133632670515,0.9507364591279854
0.6,0.9629336119015885,0.9619157579645071,0.954184026758993
0.61,0.9638341558301214,0.9619285867008767,0.955225632298574
0.62,0.965275026115774,0.9619499679281591,0.9562085558359251
0.63,0.9661035265300242,0.9619670729099851,0.9571474678716038
0.64,0.967004070458557,0.9619713491554415,0.9582917669150871
0.65,0.9677245056013832,0.9619970066281804,0.9591719969485358
0.66,0.9687691365584813,0.9620269403463759,0.9600668974825421
0.67,0.9697417240012968,0.9620397690827454,0.9607270700076287
0.68,0.9703901156298405,0.9620611503100278,0.9614459245349452
0.69,0.9711825942869493,0.9620654265554843,0.9622234610644915
0.7,0.9717589424012103,0.9713063929869574,0.9639399096297165
0.71,0.9725153993011779,0.9713149454778705,0.9647467871603779
0.72,0.9731637909297216,0.9713234979687834,0.965362948183792
0.73,0.9737401390439826,,0.9660231207088786
0.74,0.9743525089153849,0.9713448791960658,0.9666246112317353
0.75,0.9748568135153632,0.9713534316869789,0.9673287952584942
0.76,0.9751089658153524,0.9713577079324354,0.9679302857813509
0.77,0.9759014444724614,0.9713662604233483,0.968546446804765
0.78,0.9767299448867116,0.9713790891597177,0.9691185963265067
0.79,0.977126184215266,0.9713876416506307,0.9696320638460184
0.8,0.9776304888152444,0.9778191148171905,0.9712898304090135
0.81,0.9782788804437881,0.977840496044473,0.9718326389296402
0.82,0.9788552285580491,0.9778447722899294,0.9723167654480371
0.83,0.9792874896437448,0.9778576010262989,0.9730062789742386
0.84,0.9796837289722993,0.9778618772717554,0.9735197464937504
0.85,0.9802240553294189,0.9778747060081249,0.9738718385071299
0.86,0.9806202946579734,,0.9742092600199519
0.87,0.9807643816865387,,0.9746053635350038
0.88,0.9811245992579518,0.9778789822535814,0.9750454785517282
0.89,0.981484816829365,,0.9753535590634352
0.9,0.9818810561579194,0.9823647637374385,0.976233789096884
0.91,0.9821332084579085,0.982377592473808,0.9766885746141658
0.92,0.9824213825150391,0.9823818687192645,0.9770700076286603
0.93,0.9828176218435936,,0.977554134147057
0.94,0.9830337523864414,0.982386144964721,0.9778328736576491
0.95,0.9833939699578546,,0.9781556246699138
0.96,0.9837541875292677,0.9823904212101775,0.9784196936799484
0.97,0.9840783833435395,0.9823946974556339,0.9787571151927704
0.98,0.9842945138863873,,0.9790651957044775
0.99,0.9845466661863765,0.9823989737010904,0.979417287717857
1.0,0.9847627967292244,0.9859397049390635,0.9802388357490758
1.01,0.984942905514931,,0.9805762572618978
1.02,0.9851230143006375,,0.9809430197758348
1.03,0.9853751666006267,0.98594398118452,0.9811190657825245
1.04,0.9855552753863334,,0.9813097822897717
1.05,0.9857353841720399,0.9859482574299765,0.9815591807992489
1.06,0.9860235582291704,,0.9819406138137433
1.07,0.9862396887720183,0.985952533675433,0.982175341822663
1.08,0.9864558193148661,,0.9824247403321401
1.09,0.9865999063434314,,0.9827181503432897
1.1,0.986888080400562,0.9882916399401326,0.9832462883633589
1.11,0.9871762544576924,0.9882959161855891,0.9834370048706061
1.12,0.987356363243399,,0.9836277213778534
1.13,0.9874284067576816,,0.9837597558828707
1.14,0.9876445373005295,0.9883087449219585,0.9840238248929053
1.15,0.9878606678433774,,0.984199870899595
1.16,0.9881488419005079,0.988313021167415,0.9844639399096298
1.17,0.9883289506862145,,0.9846106449152046
1.18,0.9885450812290624,,0.9848453729241242
1.19,0.9887972335290516,0.9883172974128716,0.9850360894313714
1.2,0.9888332552861928,0.9902544366046611,0.9854321929464234
1.21,0.9890133640718994,0.9902587128501176,0.9855495569508832
1.22,0.989193472857606,0.9902629890955741,0.9857109324570155
1.23,0.9894456251575952,0.9902672653410306,0.9859309899653776
1.24,0.9895897121861604,,0.9861070359720674
1.25,0.9896977774575844,,0.9862977524793146
1.26,0.9899139080004322,,0.9864737984860044
1.27,0.9900940167861388,,0.9866351739921366
1.28,0.990346169086128,0.9902715415864871,0.9868552315004988
1.29,,0.9902800940774,0.9870312775071886
1.3,0.9905262778718346,0.9917254650416933,0.9875300745261428
1.31,0.9905622996289759,,0.9876621090311601
1.32,0.9905983213861173,,0.98777947303562
1.33,0.9909945607146716,0.9917297412871499,0.9879555190423097
1.34,0.9911026259860956,0.9917340175326064,0.9880142010445396
1.35,0.9911746695003782,,0.9881315650489995
1.36,,,0.9882635995540168
1.37,0.9913187565289435,0.9917425700235194,0.9883516225573616
1.38,0.9913908000432261,0.9917468462689758,0.9884689865618215
1.39,0.9914268218003675,0.9917511225144323,0.9886010210668388
1.4,0.99149886531465,0.9930596536241181,0.9889384425796608
1.41,0.991606930586074,,0.9890851475852356
1.42,0.9916789741003567,,0.9892611935919253
1.43,0.9917149958574979,,0.9893785575963852
1.44,0.9918590828860632,0.9930639298695745,0.9895252626019599
1.45,0.9919311264003459,,0.9895839446041899
1.46,0.9920031699146284,,0.9897013086086497
1.47,0.992183278700335,0.993068206115031,0.9898480136142245
1.48,0.9922913439717589,,0.9898920251158969
1.49,0.9923633874860416,,0.9899947186197993
1.5,0.9924714527574655,0.9939362839426983,0.9902441171292764
1.51,0.9925795180288894,,0.9903174696320638
1.52,0.992651561543172,,0.9903614811337362
1.53,0.9927236050574547,,0.9904495041370811
1.54,,,0.9905668681415409
1.55,0.99286769208602,,0.9906402206443284
1.56,0.9929037138431612,,0.9907429141482308
1.57,0.9929397356003026,0.9939405601881548,0.9908015961504607
1.58,0.9930838226288679,,0.9908749486532481
1.59,0.9931918879002918,,0.990962971656593
1.6,0.9932279096574331,0.9946204832157366,0.991300393169415
1.61,0.9932639314145744,,0.9913444046710874
1.62,,,0.9914030866733173
1.63,0.9932999531717157,,0.9914911096766622
1.64,0.9933359749288571,,0.991608473681122
1.65,0.9933719966859983,0.9946247594611931,0.9916818261839094
1.66,,,0.9918138606889267
1.67,0.9935881272288463,,0.9919312246933866
1.68,0.9936241489859875,,0.9920485886978464
1.69,0.9937322142574114,0.9946290357066495,0.9921072707000763
1.7,,0.9952148813341886,0.9922686462062086
1.71,0.9937682360145528,,0.9922833167067661
1.72,0.9938402795288355,,0.9923566692095535
1.73,0.9938763012859767,,0.9924153512117834
1.74,0.993912323043118,,0.9924446922128983
1.75,0.994020388314542,,0.9924593627134558
1.76,0.9940924318288246,,0.9924887037145708
