value,ucmc_probability
0.0995,0.002593130992760965
0.30000000000000004,0.001994038441772022
0.55,0.0022201665124884367
0.9,0.0024139905731025064
1.25,0.002041026092829978
2.0999999999999996,0.011993597932543353
3.2,0.011506101052817056
3.8499999999999996,0.010589841857186907
4.3,0.010495866555070996
5.4495000000000005,0.08408146484002173
7.050000000000001,0.08168509463606596
8.25,0.07904791272043817
9.350000000000001,0.08138554836057149
10.45,0.07991718426501035
11.7995,0.1130493517172518
13.55,0.10545790934320073
15.8,0.1053463136719381
19.4,0.10685579196217494
22.3995,0.02167599077867348
24.15,0.022060702171710498
26.65,0.020935935274510667
30.85,0.02128834265744534
264.75,0.021364697590414518
