value,ucmc_probability
8.4995,0.019190657426287106
21.5,0.017757208929506513
30.0,0.019120447703995812
37.0,0.01641737339578098
43.0,0.01681230308366951
60.0,0.08713611617368715
87.5,0.09063490066786999
113.0,0.08519364719029468
137.5,0.08795230419532345
162.9995,0.09330579552003464
190.0,0.0878382133966001
220.5,0.09020779152393128
259.0,0.09150374598122475
315.5,0.08863099817747262
362.9995,0.02206047982494376
393.0,0.021197485321779935
435.0,0.021633370681005053
505.0,0.02177671553068311
564.9995,0.004338375756582893
601.5,0.00437348061772854
653.0,0.004282793059768951
733.5,0.004312047110723657
1289.0,0.0043237487311055395
