value,emory_probability,nu_probability,ohsu_probability
0.0,5.576871598108325e-6,9.536524890329965e-6,
1.0,0.000025095922191487463,0.00019231991862165426,0.0005335781632391474
2.0,0.00043499598465244934,0.00041642825354440844,0.0009509018663312179
3.0,0.0010707593468367983,0.0006866297921037574,0.0014934226803509096
4.0,0.0017957526545908807,0.001028355267340581,0.002205853859200944
5.0,0.0026378602659052376,0.0014431941000699346,0.002992807127888849
6.0,0.0035106406710091907,0.0020106173310445673,0.003898995740317345
7.0,0.004503323815472473,0.0026606904444020597,0.005058559458194598
8.0,0.005537833496921567,0.0033552673405810923,0.006140620202640466
9.0,0.006683880610332827,0.004161103693813974,0.007425381031445341
10.0,0.007843869902739359,0.005000317884163011,0.008605810934477197
11.0,0.009040108860533596,0.005787081187615233,0.010114138032795681
12.0,0.010375769608280539,0.006646957848559985,0.011646312199862284
13.0,0.011502297671098421,0.007514781613580011,0.013068193673968838
14.0,0.012740363165878468,0.008319028545997838,0.014472189846514303
15.0,0.014025832069242438,0.00916936868205226,0.01608186698701229
16.0,0.01526668599982154,0.009938648356538878,0.017617022037672406
17.0,0.016627442669759972,0.010612562782122194,0.019307183035195293
18.0,0.018069063977870975,0.011286477207705512,0.02082445278429432
19.0,0.019374051931828323,0.011857079280310255,0.02232383723183226
20.0,0.020709712679575266,0.012511920656112913,0.024076596784818955
21.0,0.022109507450700457,0.013959883018628012,0.0256177136026661
22.0,0.023461898813241722,0.015466653951300147,0.027269123113473296
23.0,0.024719483358615152,0.017022696929238985,0.028848991418036134
24.0,0.0260913937717498,0.018629601373259586,0.030518286230404416
25.0,0.027309940215936468,0.02023809523809524,0.032271045783391114
26.0,0.029203288123494243,0.021897450569012652,0.03401784356919078
27.0,0.031266730614794326,0.023502765592218196,0.03575867958780342
28.0,0.03317680913714643,0.025240002543073303,0.037433936167358725
29.0,0.03507852235210136,0.026975650073113356,0.03908236479457241
30.0,0.03703879271883644,0.028830504164282535,0.04080531551162395
31.0,0.03896281342018381,0.030570919956767754,0.042680291291944755
32.0,0.04090914160792362,0.03240670099815627,0.044686425950380214
33.0,0.04276902828589275,0.03425201856443512,0.04645110903774097
34.0,0.044712568037833494,0.036205416746137704,0.04841849220946073
35.0,0.04655851253680735,0.038270074384894145,0.050278563571813956
36.0,0.04853551351833675,0.04035380507343124,0.05227575557946887
37.0,0.050479053270277505,0.04244548286604361,0.05421929168244051
38.0,0.052355670563040954,0.04452444529213555,0.05618369397056676
39.0,0.05431036405817793,0.04655095683133066,0.058094440354009735
40.0,0.056454671187650574,0.04879839786381843,0.06008865147807113
41.0,0.058576670830730794,0.05107762731260729,0.0620381493482298
42.0,0.060737708574997766,0.053390234598512304,0.06394293396448575
43.0,0.06285413134647988,0.05573780914234853,0.06587156564948982
44.0,0.06514064870170429,0.058172801831012776,0.06796116504854369
45.0,0.06745505041491924,0.06062686756945769,0.07011634388665489
46.0,0.06976666369233515,0.06309046983279293,0.07222979035445687
47.0,0.07201693138217186,0.06556519804183356,0.07429554268476261
48.0,0.07419191130543411,0.0681416491830377,0.07656101421583386
49.0,0.07655650486303203,0.07063703986267404,0.07874898277347371
50.0,0.0790103283661997,0.0733613071396783,0.08095185574908115
51.0,0.08156732399393236,0.07605060715875135,0.08311001547078585
52.0,0.08400162844650665,0.07862864772077055,0.08532779286436086
53.0,0.08644708664227715,0.08139423993896625,0.0876349967657413
54.0,0.08888696796644954,0.08423930319791469,0.08990344918040606
55.0,0.09131848398322477,0.08703032614915125,0.09207353243648482
56.0,0.09383086463817257,0.08975936168860067,0.09425553922693765
57.0,0.09633766842152226,0.09254720579820713,0.0964435077845775
58.0,0.0988416837690729,0.09535412295759425,0.098762635220332
59.0,0.1013233916302311,0.09811812575497489,0.10110859060842815
60.0,0.10379673418399214,0.10097749380125882,0.1034157945098086
61.0,0.10623382707236549,0.10383050416428254,0.10569020869166038
62.0,0.10875457303471045,0.10675185962235362,0.10794673757195108
63.0,0.11128089586865351,0.10965732087227414,0.11031952091238885
64.0,0.1138183724457928,0.11252940428507852,0.11260883951220821
65.0,0.11641161773891318,0.11543168669336894,0.1149249860643692
66.0,0.11887101811367895,0.11835622099307012,0.11742892828292162
67.0,0.12148935932899081,0.1213236696547778,0.11983152045929454
68.0,0.12408539305791023,0.12421800495899295,0.12238017593174969
69.0,0.1268124832693852,0.1271647911501049,0.12483642401280588
70.0,0.12940851699830463,0.13002256977557378,0.1273373853477648
71.0,0.1320798384937985,0.13300591264543202,0.129897964354594
72.0,0.13466193004372268,0.13607667366011825,0.13235123155205666
73.0,0.13724123315784778,0.13915856062050988,0.13477468991358418
74.0,0.13998226554831802,0.14218322843155953,0.13732632626963284
75.0,0.14257829927723745,0.1452571682878759,0.13988392439286854
76.0,0.14507394931739093,0.14820713332061797,0.14246835046844586
77.0,0.14765604086731507,0.15114120414520948,0.14506470007839725
78.0,0.1502827473900241,0.15421832284315595,0.14778624679927624
79.0,0.15302377978049433,0.1573383559031089,0.15041240524516278
80.0,0.1557146203265816,0.16044726301735648,0.1530952004793261
81.0,0.15845565271705184,0.16361974696420625,0.1558793457556689
82.0,0.1612385116445079,0.1667890520694259,0.15863070131248305
83.0,0.16404367805835637,0.16993292644160468,0.16126580240915012
84.0,0.16664250022307486,0.17300050861466082,0.16407379475424105
85.0,0.1693723788703489,0.1761729925615106,0.16681620766027466
86.0,0.17217754528419738,0.17944084175726366,0.16966295149208127
87.0,0.17502732667083074,0.1825958420751478,0.1724262305832695
88.0,0.17778230124029623,0.18579057791340836,0.175150758187742
89.0,0.18051775675916837,0.18902187043041516,0.17809885206172812
90.0,0.18344003747657714,0.19231673978002417,0.18096944296228287
91.0,0.18613924333006157,0.195462203573018,0.18398013539173283
92.0,0.18890258320692424,0.1987888613389281,0.18678812773682374
93.0,0.19156832783082003,0.20196452412740798,0.18980776281705422
94.0,0.19428705273489782,0.20511952444529213,0.1926634492996414
95.0,0.19718702596591417,0.20825863055502575,0.1956294284751886
96.0,0.19993642366378156,0.21137071651090342,0.19868781504213479
97.0,0.20260216828767735,0.21428730370652935,0.2016925457043977
98.0,0.20523724011778352,0.2172229639519359,0.2047151616682217
99.0,0.20788904256268403,0.21993133702078962,0.20778547176954193
100.0,0.21153910502364592,0.2229448788861339,0.21101674958491196
101.0,0.2149354198268939,0.22742863500540403,0.21397378610967863
102.0,0.21850182921388417,0.23179000572191494,0.2172110256922357
103.0,0.22211564200945838,0.23617521775065167,0.2204423035076057
104.0,0.2256430132952619,0.24042373958929367,0.22362588718547952
105.0,0.22891106005175338,0.24458484328310764,0.2267051399375803
106.0,0.2322739136254127,0.2487634306058872,0.22990660891701517
107.0,0.2356423440706701,0.2528148642634624,0.23318856175347497
108.0,0.23908885071830105,0.2567566278847988,0.23648541900790232
109.0,0.24238199339698402,0.2606968020853201,0.23989853072247674
110.0,0.24587869188899794,0.2645543264034586,0.24339808806126312
111.0,0.24936423663781565,0.26861688600673916,0.2465548437867953
112.0,0.2526629561880967,0.27244421132939156,0.2499828599193373
113.0,0.25610946283572766,0.2763382923262763,0.2533542392636025
114.0,0.25949462389577943,0.2803054866806536,0.25664811563443635
115.0,0.263024783617382,0.2840596986458135,0.2601595965075968
116.0,0.2665103283661997,0.28792993833047237,0.2635846317565453
117.0,0.26989548942625147,0.29177315786127533,0.2669500493336235
118.0,0.2732137280271259,0.2956243244961536,0.27033931397944977
119.0,0.2767299455697332,0.29951045838896306,0.2737673301119918
120.0,0.28016529847416793,0.3033965922817725,0.27724005949843655
121.0,0.2835978629428036,0.3073288193782186,0.28081115804346723
122.0,0.2870109083608459,0.3111450187551656,0.2843136962658471
123.0,0.2904546265726778,0.3151296967385085,0.28791162276321947
124.0,0.29389834478450966,0.3189935787399072,0.2913396388957615
125.0,0.29730023645935577,0.32282567232500475,0.2949524698111014
126.0,0.30076626215758007,0.32667683895988303,0.29852654923972566
127.0,0.3043019987507808,0.33045807107889885,0.3021423610386591
128.0,0.307659275452842,0.33440619238349545,0.3057015360493157
129.0,0.31113366645846346,0.33833841947994153,0.309189169853728
130.0,0.31460248059248686,0.34216415538177886,0.3127244977956366
131.0,0.31801831444632817,0.34582141267722044,0.3163790610812857
132.0,0.3213895333273847,0.34963761205416743,0.32013199352552085
133.0,0.3248388284108147,0.35340136054421767,0.32382828918147916
134.0,0.32811245203890427,0.35719689745056904,0.3274828524671283
135.0,0.33149761309895603,0.36100673914425585,0.3314086761597873
136.0,0.3350082537699652,0.36471167906414903,0.335072182096217
137.0,0.3382344739894709,0.3684579439252336,0.33870289831311795
138.0,0.34160011599892925,0.37211996948312037,0.3424111175034504
139.0,0.34489604711341126,0.3756437154300973,0.3460269293023838
140.0,0.34811947889711786,0.3791801767435946,0.3496159131489756
141.0,0.35247222717944143,0.3837116154873164,0.35478476530013026
142.0,0.35681382171856874,0.3882891474346748,0.35942898193882633
143.0,0.36112753189970553,0.39285714285714285,0.36434743986812573
144.0,0.36522932096011423,0.3973536143429334,0.3691973374747743
145.0,0.36944264745248506,0.4016529976476572,0.37406512038298395
146.0,0.37359741679307573,0.4061764892873037,0.3787600120427697
147.0,0.3776964174176854,0.4104567995422468,0.38351750225801934
148.0,0.3817257071473186,0.4148467798334287,0.38805738797094236
149.0,0.38592787989649324,0.4189856316358319,0.39265391047214215
150.0,0.38987072811635587,0.4232023650581728,0.3970000387514867
151.0,0.3937884804140269,0.42729989191938456,0.40154290534800324
152.0,0.397706232711698,0.4314053658846716,0.40581451153750997
153.0,0.40161561970197196,0.43556011189522537,0.4103782443191811
154.0,0.4055250066922459,0.43978002415919637,0.41463792697431373
155.0,0.4094539127331132,0.44382351071269627,0.41870683307946144
156.0,0.41339397251717674,0.4477795791213682,0.4229337260150654
157.0,0.4172587445346658,0.4517833301544917,0.42714273364910826
158.0,0.4210119791201927,0.45593807616504545,0.43131298979643545
159.0,0.4249185776746676,0.45999268866425075,0.43556074891719404
160.0,0.4285993129294191,0.4639169686566215,0.43953724763094276
161.0,0.4322800481841706,0.4680144955178333,0.44354355518062666
162.0,0.43593847595252966,0.4720007629219912,0.447442550920944
163.0,0.43949094316052467,0.47602199758408037,0.4515353040948398
164.0,0.44318004372267333,0.4800464110877996,0.45549093662343393
