value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability
0.1,,,,7.870462678265979e-6,,
0.2,,0.00002472035102898461,,0.000015740925356531958,,0.000013880213755291832
0.3,,0.000037080526543476915,,0.00002361138803479794,,0.000027760427510583664
0.4,,0.00006180087757246153,,0.00002623487559421993,0.00015793683545529114,0.0000902213894093969
0.5,,0.00008652122860144614,,0.00003410533827248591,0.00033625261742094244,0.0001318620306752724
0.6,,0.0001977628082318769,0.000046405250422619246,0.00007083416410439382,0.000973094695869697,0.0002567839544728989
0.7,,0.0002472035102898461,0.00011269846531207531,0.0001547857660058976,0.0023333893754362367,0.00044416684016933863
0.8,,0.0003460849144057846,0.0002154529483907322,0.0003043245568929512,0.0047635787467966845,0.0006801304740092997
0.9,,0.0005191273716086769,0.0004309058967814644,0.0004958391487307567,0.009068631197110266,0.0011312374210562842
1.0,0.0010004826448940193,0.0011000556207898151,0.0007259107030395439,0.011750600778651107,0.01663431508908147,0.0021861336664584633
1.1,0.0036550295619997585,0.001693344045485446,0.0012761443866220292,0.01871333676135708,0.027333262007020548,0.003379832049413561
1.2,0.007390499939669388,0.0028057598417897535,0.0022539693062415063,0.028257584502534287,0.04270917714908728,0.005316121868276772
1.22,0.007395527490648755,,,,,
1.28,0.0074005550416281225,,,,,
1.3,0.012538712142541125,0.004573264940362153,0.0034306738705293513,0.04029152193760297,0.06265507104610227,0.00829342771878687
1.4,0.01938120902545952,0.007267783202521476,0.005071430939043389,0.05509586223542128,0.08678883845099628,0.01250607259351794
1.5,0.029672605880223624,0.011766887089796675,0.011379230335775134,0.07500026234875594,0.11585940564802502,0.019265736692345062
1.55,,,,0.07500288583631537,,
1.57,0.029677633431202992,,,,,
1.58,0.02968266098218236,,,0.07500550932387479,,
1.6,0.04265877005992841,0.018738026079970337,0.01713679604892439,0.09732876496699652,0.1483332569122839,0.02910680824484697
1.62,0.04266379761090777,,,,,
1.63,,,,0.09733138845455595,,
1.64,,,,0.09733401194211537,,
1.66,0.04266882516188714,,,0.09733663542967479,,
1.67,,,,0.09733925891723422,,
1.68,0.04267888026384588,,,,,
1.69,0.042688935365804606,,,,,
1.7,0.05878212605075815,0.028663247018107657,0.025082037853425703,0.12330916226795252,0.1859731711169191,0.04168228190714137
1.71,0.05878715360173752,,,,,
1.72,0.05880223625467562,,,,,
1.75,0.05880726380565499,,,0.12331178575551195,,
1.76,0.05882234645859309,,,,,
1.78,0.058827374009572456,,,,,
1.79,0.05883240156055183,,,,,
1.8,0.07746450549008567,0.04242012236573759,0.035874573237429146,0.15359470265392003,0.22639990625684606,0.0582830175584704
1.82,0.07746953304106503,,,,,
1.83,0.07748461569400314,,,0.15359732614147945,,
1.84,0.0774896432449825,,,,,
1.85,,,,0.15359994962903886,,
1.87,0.07750472589792061,,,0.1536051966041577,,
1.88,0.07750975344889997,,,,,
1.9,0.10054096448537989,0.06189975897657747,0.05092313301733568,0.1868001846935242,0.2691243676158161,0.08017905475744326
1.92,,,,0.1868028081810836,,
1.94,,,,0.18680543166864302,,
1.95,,,,0.18680805515620244,,
1.96,0.10054599203635925,,,0.18681067864376188,,
1.97,0.10055101958733861,,,0.1868133021313213,,
1.98,0.10056610224027672,,,0.18681854910644013,,
2.0,0.1276143265092708,0.08743588158951857,0.07226954821174053,0.2241507770770151,0.31480377621878836,0.10655146089249774
2.01,,,,0.22415340056457453,,
2.02,0.12761935406025018,,,0.22415602405213395,,
2.03,,,,0.22415864753969336,,
2.07,0.12762438161122955,,,0.22416651800237164,,
2.1,0.15924264972046817,0.11874420616772759,0.09587324737313135,0.265082429979117,0.3628675215634728,0.1383024498577278
2.11,0.15924767727144754,,,0.26508505346667643,,
2.12,0.1592527048224269,,,,,
2.13,,,,0.2650903004417953,,
2.15,0.15925773237340626,,,,,
2.16,,,,0.2650981709044736,,
2.17,0.159267787475365,,,0.265100794392033,,
2.18,0.15927784257732375,,,0.2651034178795924,,
2.19,0.15929292523026184,,,0.2651060413671518,,
2.2,0.19615492901098017,0.15638094060935664,0.12747522291093508,0.3089287775597368,0.4136212878475247,0.17680616281490735
2.22,0.1961649841129389,,,,,
2.23,0.19617001166391826,,,0.3089314010472962,,
2.24,0.19618006676587701,,,0.30893402453485563,,
2.25,0.19618509431685638,,,0.30893664802241505,,
2.26,0.1961951494188151,,,0.30894451848509336,,
2.27,0.19620017696979447,,,0.3089497654602122,,
2.28,0.19620520452077383,,,,,
2.29,0.1962102320717532,,,,,
2.3,0.2382204480553433,0.1985909399913479,0.16573966654512912,0.3555114226648337,0.4659951803791503,0.2208758414879589
2.31,,,,0.3555140461523931,,
2.32,0.23822547560632265,,,0.355519293127512,,
2.33,0.23823553070828138,,,0.35552716359019026,,
2.35,0.2382455858102401,,,0.3555297870777497,,
2.36,0.2382656960141576,,,,,
2.37,,,,0.3555324105653091,,
2.38,0.23827072356513695,,,,,
2.39,0.2382908337690544,,,,,
2.4,0.28528838032417647,0.24748779432667944,0.20917498094070072,0.4042741859318103,0.518715515001452,0.26702755222430424
2.41,0.2852984354261352,,,0.4042768094193697,,
2.42,,,,0.40427943290692914,,
2.43,0.2853235731810321,,,0.404284679882048,,
2.44,0.28532860073201144,,,0.40428730336960744,,
2.45,0.28533865583397017,,,0.40428992685716686,,
2.46,0.2853587660378876,,,0.4042951738322857,,
2.47,0.285363793588867,,,0.4042977973198451,,
2.48,0.2853788762418051,,,0.4043082912700828,,
2.49,0.28538390379278444,,,,,
2.5,0.33541809113944415,0.2993387306099747,0.25894792667970434,0.4547763214506837,0.5707633443889119,0.3191824554098133
2.51,0.3354281462414029,,,0.45478156842580253,,
2.52,0.3354382013433616,,,,,
2.53,0.335443228894341,,,,,
2.54,0.3354633390982585,,,0.4547894388884808,,
2.55,0.3354784217511966,,,,,
2.56,0.33548344930217594,,,0.4547920623760402,,
2.57,0.33549853195511403,,,,,
2.58,0.3355035595060934,,,0.4547946858635996,,
2.59,0.33552366971001085,,,0.4548025563262779,,
2.6,0.3897458070224832,0.3562326185031827,0.3133945440684146,0.5060917381129779,0.6226379527310336,0.37353043236865846
2.61,0.38976088967542133,,,,,
2.63,,,,0.5060943616005373,,
2.64,0.3897759723283594,,,0.5061022320632156,,
2.65,0.3897960825322769,,,0.5061074790383344,,
2.66,0.38981116518521497,,,0.5061127260134533,,
2.67,,,,0.5061153495010127,,
2.68,0.38984133049109115,,,,,
2.69,0.3898463580420706,,,,,
2.7,0.4478492136910268,0.4149187318459922,0.37320759720242636,0.5586244530028439,0.6732083084964923,0.4306058713304185
2.71,0.4478542412420062,,,,,
2.72,0.4478642963439649,,,,,
2.73,0.4478894340988618,,,0.5586323234655222,,
2.74,0.4478994892008205,,,0.5586349469530816,,
2.75,,,,0.5586428174157598,,
2.76,0.4479145718537586,,,,,
2.77,0.44791959940473797,,,0.5586454409033192,,
2.78,0.44792462695571733,,,0.5586506878784381,,
2.8,0.5069078550456502,0.47558247327112046,0.4361994099903875,0.6120701415633887,0.7203346223017001,0.48811159691859257
2.81,0.5069229376985883,,,0.6120727650509481,,
2.82,0.506932992800547,,,,,
2.83,0.5069380203515264,,,0.6120753885385075,,
2.84,0.5069430479025058,,,0.6120780120260669,,
2.85,0.5069480754534851,,,0.6120806355136263,,
2.86,0.5069531030044645,,,0.6120832590011858,,
2.87,0.5069631581064232,,,0.6120885059763047,,
2.89,0.5069681856574025,,,0.6120911294638641,,
2.9,0.5654335759964606,0.5359124899573574,0.5001093838045676,0.6641070173045239,0.7639659467803812,0.545492400582969
2.91,0.5654436310984193,,,,,
2.92,0.5654486586493987,,,,,
2.93,0.5654536862003781,,,,,
2.94,0.5654737964042955,,,,,
2.95,0.5654788239552749,,,0.6641096407920833,,
2.96,0.5654888790572337,,,,,
2.97,,,,0.6641148877672022,,
2.98,0.5655089892611511,,,0.6641227582298804,,
2.99,0.5655140168121304,,,0.6641280052049994,,
3.0,0.6231347785866549,0.5953278536555219,0.5631973217541185,0.7139427869833042,0.8046423240150601,0.6014435422305503
3.01,0.6231398061376342,,,0.7139454104708636,,
