value,emory_probability,mimic_probability,ohsu_probability,rush_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
-1.0004999999999988,,,,,,0.17086224134083566,,
0.9995,,,,,,,,0.3112719061141479
1.2495,0.1286027901706678,,,,,,,
2.75,0.07896041356844416,,,,,,,
3.0,,,,,,,,0.2113529057786357
4.0,0.14035833156292046,,,,,,,
5.0,,,,,,,,0.1261683335836932
10.5,,,,,,,,0.05190904650667022
13.4995,,,,0.10224368077250781,,,,
13.4995,,0.10041515163399425,,,,,,
13.949499999999999,,,,,0.10028036959576273,,,
17.4995,,,,,,,0.2046797943408765,
17.5,0.06132710148006515,,,,,,,
27.5,,,,,,,,0.16027094635132716
29.9995,,,0.24846570397111914,,,,,
30.75,,0.10086615981937262,,,,,,
33.5,,,,0.1657483669412099,,,,
34.0,0.09645209262800085,,,,,,,
35.35,,0.10060844085629926,,,,,,
36.95,,,,,0.10447879097896257,,,
37.5,,,,,,,0.4533711074580579,
38.75,,0.10009020163707567,,,,,,
39.0,0.10544578995821825,,,,,,,
41.8,,0.09861672147863454,,,,,,
42.0,,,,0.0371485373473445,,,,
42.5,,,,,,0.08069321223383935,,
42.5,,,,,,,0.13454117263008172,
43.45,,,,,0.09587215664437092,,,
44.0,0.08887472558600666,,,,,,,
44.9,,0.0995159365563144,,,,,,
45.0,,,,,,,,0.08652594642778437
47.0,,,,0.23220675944333996,,,,
47.5,,,,,,0.19793690437317268,,
47.5,,,,,,,0.13649983094913318,
48.35,,0.10098101283552488,,,,,,
49.5,,,,,0.09964969988150661,,,
51.5,0.10785355144819772,,,,,,,
52.5,,,,,,0.10258744265151411,,
52.5,,,,0.07605793808577109,,,,
52.6,,0.0997288348301576,,,,,,
53.55,,,,,0.10486988390238217,,,
57.5,,,,,,0.1989757645519222,,
57.5,0.1320019828624035,,,,,,,
57.5,,,,0.18926441351888668,0.41744507540193865,,,
58.85,,0.09929743569631742,,,,,,
62.5,,,,,,0.06548223158261018,,
65.0,,,0.11398916967509025,,,,,
65.0,,,,0.13348480545299632,,,,
67.5,,,,,,0.0854475104547913,,
72.5,,,0.10018050541516245,,,,,
75.0,,,,,,,0.0709080946218507,
75.0,,,,,,,,0.05250091523774143
77.5,,,0.2351985559566787,,,,,
80.0,0.06012322073507542,,,,,,,
80.0,,,,,0.07740402359507638,,,
81.35,,0.09988010465630935,,,,,,
82.5,,,0.06083032490974729,,,,,
85.0,,,,0.06384549843794377,,0.0980146928113145,,
87.5,,,0.14810469314079422,,,,,
95.0,,,0.09323104693140795,,,,,
