Site,"City, State/Province",Latitude,Longitude,Data Ready,Hospitals,Encounters,Patients
Emory University,"Atlanta, GA",33.793,−84.3234,Yes,10,"56,717","46,065"
Johns Hopkins University,"Baltimore, MD",39.3299,−76.6205,Yes,9,"131,261","107,143"
Northwestern University,"Chicago, IL",41.8963,−87.6193,Yes,10,"106,234","85,393"
Oregon Health & Science University,"Portland, OR",45.5051,−122.6750,Yes,2,"63,185","53,775"
Rush University,"Chicago, IL",41.8721,−87.6278,Yes,1,"67,385","46,781"
"University of California, San Francisco (UCSF)","San Francisco, CA",37.7631,−122.4586,Yes,5,"70,177","57,177"
University of Chicago,"Chicago, IL",41.7886,−87.5987,Yes,1,"43,779","35,684"
University of Michigan,"Ann Arbor, MI",42.278,−83.7382,Yes,1,"49,908","42,193"
University of Minnesota,"Minneapolis, MN",44.9778,−93.2650,Yes,13,"178,613","129,480"
University of Pennsylvania,"Philadelphia, PA",39.9522,−75.1932,Yes,8,"152,603","118,690"
University of Toronto,"Toronto, ON",43.6629,−79.3957,Yes,1,"19,649","18,259"
Cornell University,"Ithaca, NY",42.443,−76.5019,No,,,
Harvard University,"Cambridge, MA",42.377,−71.1167,No,,,
University of Colorado,"Aurora, CO",39.7392,−104.9903,No,,,
MIMIC-IV,"Boston, MA",42.3601,-71.0589,Yes,1,"89,889","68,109"
