value,emory_probability,nu_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
21,,,,0.0007918624933510856,,,,,
23,,,,,0.00076847250080621,,,,
25,,,,,,,,,0.0008176862785811214
28,,,,,,,0.000764965924734676,,
31,,,0.0005470812632603716,,,,,,
33,,,,0.0015870016590884516,,,,,
34,,,,,0.0015529548453792161,,,,
35,,,,,,,,0.0005878858514786563,0.0015967851148022349
36,,,,,,0.0010638757146469475,0.0015216755302441538,,
39,,,,0.002294762894525008,,,,,
40,,,0.0011237916858462564,,,0.0018903067045755906,,,
41,,,,,0.002428922011476771,,,,0.002418605762207643
42,,,,,,,0.0023824865520713488,,
43,,,,,,,,0.001197697515599873,
44,,,,0.0031281299047689784,,0.0028863410693030227,,,
45,,,0.0016264292101183578,,,,,,0.0031563609101858906
46,,,,,,,0.003189093043333112,,
47,,,,0.0037419598651321647,0.0033506315883366,0.0038299525727290107,,,
48,,,,,,,0.0037462151058334486,0.00181093508794649,0.003861959856197465
49,,,0.002203139632704243,,0.0037897587316544344,0.004529951955989466,,,
51,,,0.0025883187039359165,,,,,0.002344006407818745,
53,,,,,,,,0.002775670844219157,
53.2,0.0028466856445709637,,,,,,,,
58,,,,0.007644476677192066,,0.009076864249458812,0.007621659556061305,,0.0077303509527882645
59,,,,,0.008144436236222958,,,,
60,,,0.0055459437151791245,,,,,0.005271787577245665,
60.2,0.0056933712891419274,,,,,,,,
63,0.008946726311508743,,,,,,0.010833726705064535,,
64,,,0.007791410718348386,0.011657308126256741,,0.01424822533196006,,,0.011911116582769605
65,,,,,0.011634582177384495,,,0.008373604884522911,
66.8,0.010980073200488003,,,,,,,,
67,,,,0.014648910014930704,,,0.014392918231927187,,
68,,,0.010910937921620291,,0.015634755998545392,0.01914667916592144,,0.011003332038340025,0.01615849148825334
70,0.013826758845058967,,0.012929953492801701,0.0183023997256333,0.01798820303226441,0.02227509050652819,0.0178821105305762,0.013173987489953524,0.018776465702654357
84,,,,0.05070759740181724,,0.05954928674071653,,,
85,,,,,,,0.04947186479738813,,0.05438027189446886
85.8,0.04839365595770639,,,,,,,,
86,,,,,0.056834945372125946,,,0.05222523016964412,
88,,,0.05119601276170219,,,,,,
92,,,,,,0.09111401663963292,,,
93,0.08784058560390402,,,0.08406630674240877,,,,,0.08581112181963678
94,,,,,0.08523869533496024,,0.08154730601688238,,
95,,,,,,,,0.0944461231394749,
96,,,0.08611291884255805,,,,,,
99,0.11915412769418463,,,,,0.12608160697655774,,,
100,,,,0.11768278097738769,,,,,0.12150358725401654
101,,,,,0.12251418586513765,,0.11574031363243943,0.13266212939381294,
102,,,0.12334619027211208,,,,,,
105,0.15331435542903618,,,0.14538049265861552,,0.16147628944820314,,,
106,,,0.15414887594376808,,0.16130375019154636,,0.1453962943485495,0.1706205073496009,0.1585907131051223
110,0.18666124440829607,,0.189133505817368,0.1760097339014355,0.1831022960403082,0.19382427856891757,0.1729759902647227,0.2048610896991847,0.18630614358019804
125,,,0.35732131236012127,,,,,,
126,,,,,,,,0.3737645318462151,
129,,,,,,,0.3411651102308359,,
130,,,,,0.3615457275444788,,,,0.35611477742855124
131,0.357055713704758,,,,,,,,
132,,,,0.34847301605678693,,0.3580758959683736,,,
139,,,0.5206689840901996,,,,,,
141,,,,,,,,0.5282517521807619,
146,,,,,0.5086624690381057,,,,
147,,,,,,,0.50584206379263,,
149,,,,,,,,,0.5161534383708014
150,0.5180967873119154,,,0.5045791496598268,,,,,
154,,,0.6739236943328942,,,,,,
155,,,,,,0.5192684852260042,,,
160,,,,,,,,0.6856201613328702,
168,,,,,0.6738245915774499,,,,
169,,,,,,,0.6727238135579531,,
170,0.6750711671411143,,,,,,,,
172,,,,0.6701210075112254,,,,,0.6767796390604142
180,,,0.8381359026047206,,,,,,
182,,,,,,0.6811256113430737,,,
188,,,0.8713385501817431,,,,,,
193,,,,,,,,0.8399415677093076,
196.2,0.8373322488816592,,,,,,,,
200,,,0.9044046919890161,,,,,,
203,,,,,,,0.8343039294694956,,
204,,,,,,,,0.8729604711857137,
205,,,,,0.8342272162769795,,,,
206,0.8706791378609191,,,,,,,,
209,,,,,,,,,0.8377301580155765
211,,,,0.8339142145324789,,,,,
213,,,,,,,0.8676246390103904,,
216,,,,,0.8683258963797169,,,,
218,0.904026026840179,,0.936219001814786,,,,,,
220,,,,,,,,0.9054600069751492,0.8710848675669791
222,,,,,,0.839194414806683,,,
224,,,,0.8674247430269681,,,,,
227,,,,,,,0.9006208393086949,,
232,,,,,0.900949383735371,,,,
234,0.936966246441643,,,,,0.8721637690187057,,,
235,,,,,,,,,0.9034321692481971
242,,,,,,,,0.9367591045224044,
243,,,,0.9013983745520516,,,,,
248,,,,,,,0.9348658976324107,,
250,,,,,,0.9036621994165643,,,
252,,,0.967982518795998,,,,,,
256,,,,,0.9348925396415168,,,,
257,,,,,,,,,0.9360716329929982
269.6,0.9674664497763319,,,,,,,,
270,,,,0.934607449187003,,,,,
273,,,,,,0.9359978537463843,,,
281,,,,,,,,0.9680554613430794,
284,,,,,,,0.9672540020712592,,
285,,1.0,,,,,,,
292,,,,,0.9675320368409376,,,,
295,,,,,,,,,0.9677124169795771
313,,,,,,0.9681145655378277,,,
314,,,,0.9668422598991003,,,,,
529,1.0,,,,,,,,
575,,,,,,1.0,,,
600,,,1.0,,1.0,,1.0,1.0,
700,,,,1.0,,,,,
954,,,,,,,,,1.0
