value,sunnybrook_probability,ucmc_probability
0.01,0.3867469106964559,
0.04,,0.5769239170798838
0.1,0.6392804907465931,
0.15,,0.7650014198650036
0.2,0.7909349895114824,
0.5,0.9443146738483241,0.9425500775464732
0.57,,0.9552633303479762
0.6,0.9713741332087535,
0.68,,0.9661853688372398
0.7,0.9799542596816498,
0.87,,0.9771510954804604
0.9,0.9888733164173544,
0.93,0.9912214008506844,
1.02,0.9934076537170878,
1.2,0.99599085193633,
1.22,,0.988357106970445
1.37,,0.9907599554380829
1.5,0.9979938992552695,
1.64,,0.9930535835208283
2.1,,0.9953908997575307
3.294,,0.9976626837632976
22.14,1.0,
44.5,,1.0
