value,sunnybrook_probability,ucmc_probability
0.03,,0.005708951984023617
0.08,0.0013437665685503775,0.008856473039854129
0.13,0.0020293617565862844,0.011678388469219415
0.19,,0.014218112355648172
0.21,0.002684486047376151,
0.3,0.003354845786789038,
0.62,,0.02785013458365894
1,0.006791962996142384,
1.11,,0.04169922722931319
1.5,0.01013766751375761,
1.57,,0.05570026916731788
1.8,0.013376723891011695,
2,0.016314118385529982,0.06948424068767908
3.54,,0.13443170964660936
4.04,0.10056310218110683,
4.68,,0.19857601806025874
5.06,0.18472981455411935,
5.68,,0.26376226447859685
5.9,0.2721751954708058,
6.61,,0.32849266301988367
6.7,0.3549128227629791,
7.5,0.4372512813012292,0.3921811235564817
8.64,0.5499844598424045,
9.306,,0.5136971433533039
10,0.6624037881419457,
11.47,,0.635278284275419
11.87,0.7749968005557891,
14.34,,0.7568160111140054
14.89,0.8874283172142287,
15.8,0.9099554515482263,
17.1,0.932619704919831,
18.97,0.9549853434984247,
19.07,,0.8782886168272988
20.692,,0.9026439176868977
22.36,0.9775124778324222,
22.72,,0.9270209255882609
25.89,,0.951332812364331
31.258,,0.9756446991404012
49.96,,1.0
50,1.0,
