value,ucmc_probability
0.0345,0.0253592743412406
0.09,0.02066231443776528
0.135,0.028224850796113157
0.175,0.01740891560554155
0.21000000000000002,0.0224506065111068
0.325,0.11957856634994506
0.51,0.11289940318445263
0.6950000000000001,0.111003382672958
0.895,0.11102492836058862
1.0895,0.08685066683903217
1.285,0.07808157197336953
1.54,0.08245534656238554
1.93,0.08295089737788981
3.085,0.08167970180768319
4.1805,0.0038782237735117317
4.693,0.003856678085881111
5.556,0.003856678085881111
7.4239999999999995,0.0038782237735117317
9.2645,0.000797190442332967
10.675,0.0007756447547023463
13.405000000000001,0.0007756447547023463
19.535,0.0007756447547023463
36.87,0.0007756447547023463
