value,emory_probability,jhu_probability,mimic_probability,ohsu_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
27.5,,,,,,,,,,0.012265253093589907
30.42,,,,0.019230769230769232,,,,,,
33.4,,,,,,,,,,0.02449022069734183
34.2,,,,0.038461538461538464,,,,,,
35,,,,,,,0.00836332051122968,,0.015798196336712512,
35.6,0.016975582095899635,,,,,,,,,
36,,,,,,,,0.016701743025201013,,
36.3,,0.019784527737823278,,,,,,,,
36.8,,,,0.05448717948717949,,,,,,
37.3,,,,,,,,,,0.036716866863170335
37.7,,,,,0.011798399900382903,,,,,
39,,,,,,0.020982449259731348,,,,
39.4,,,,,,,,,0.03155334581692172,
39.42,,,,0.0673076923076923,,,,,,
39.7,,,,,,,0.016850725896513215,,,
39.9,0.033933444377502925,,,,,,,,,
40,,0.03978057929322842,0.01322485339079888,,,,,0.032580540715557715,,
40.2,,,,,,,,,,0.04895022727730517
40.6,,,,0.08653846153846154,,,,,,
41.7,,,,,0.02353453911527566,,,,,
42,,,,,,0.04069026375134817,,,0.047373065581885886,
42.2,,0.0592548720985983,,,,,,,,
42.4,,,,,,,,,,0.0609603389352545
42.5,0.051041925080625154,,,,,,,,,
42.6,,,,,,,0.025214046407742895,,,
43,,,,,,,,0.05206141060924937,,
43.9,,,,,,,,,0.06323583220335335,
44,,0.07967397128916716,0.027283551974634637,,,0.05941758995979998,,,,
44.3,,,,,0.03495937490271768,,,,,
44.4,0.068079526526562,,,,,,,,,
44.5,,,,,,,0.03337883112048641,,,
45,,,,,,,,0.06941071717662296,,
45.3,,0.09840087993908114,,,,,,,,
45.4,,,,,,,,,0.07825918512300639,
45.9,0.08446149484353405,,,,,,,,,
46,,,0.03885444082615872,,,0.08334150406902638,,0.079677297501484,,
46.2,,,,,,,0.04161806675766224,,,
46.4,,,,,0.04719359960153161,,,,,
46.9,,,,0.1762820512820513,,,,,,
47,,,,,,0.0969702912050201,,,,
47.7,,,,,0.05815148024779753,,,,,
48,,,0.05411071954320382,,,,,,,
49,,,0.06360557406638506,,,,,,,
49.6,,,,,,,,,,0.12276499459503011
50.4,,0.19649152494570887,,,,,,,,
50.72,,,,,,,,,0.15591571425496653,
51,,,,,,,,0.1498300145701797,,
51.1,0.16762944324343482,,,,,,,,,
51.5,,,,,,,0.08269016006948753,,,
52,,,,,,0.19874497499754878,,,,
52.5,,,,,0.11642748186657535,,,,,
52.64,,,,0.2564102564102564,,,,,,
53.9,,,,,,,,,,0.18342151379442315
54,,,0.1390634168436729,,,,,,,
54.1,,0.2967679160673492,,,,,,,,
54.4,,,,,,,,,0.2349066959385291,
54.7,0.25262253251585925,,,,,,,,,
55,,,,,,0.2869889204824002,,0.22730829420970267,,
55.1,,,,,,,0.12468048144931133,,,
55.5,,,,,0.17529495999750958,,,,,
55.9,,,,0.34935897435897434,,,,,,
56,,,0.18350427731700872,,,,,,,
57.1,,0.39208054826973515,,,,,,,,
57.2,,,,,,,,,,0.24433317442945676
57.4,,,,,,,,,0.3126277953552442,
57.5,0.33482475103660914,,,,,,,,,
57.9,,,,,,,0.1661000124084874,,,
58,,,,,0.23400678641471842,0.3895479949014609,,0.3074712643678161,,
59,,,0.2660172053489625,,,,,,,
60,0.41762058333628665,0.48998787263445864,0.3012445911584958,0.42948717948717946,0.2904460978115369,0.4616138837140896,0.20617942672788186,0.3662916194484917,0.3897677622091647,0.30448108931964524
62,,,0.40799393317571486,,,0.575644671046181,,,,
62.4,,0.5731590377076459,,,,,,,,
62.5,0.5134670588652231,,,,,,,,,
62.7,,,,,,,,,0.4786164740319838,
62.8,,,,,0.381408959312642,,,,,
62.9,,,,,,,,,,0.3757192638498157
62.96,,,,0.5032051282051282,,,,,,
63,,,,,,,,0.4894905833468242,,
63.6,,,,,,,0.2904826901600695,,,
64,,,,,,0.6393764094519071,,,,
64.8,,0.6549059424091153,,,,,,,,
65,0.6060442286564837,,0.5203983240741058,,,,,0.5567022826614861,,
65.32,,,,0.5769230769230769,,,,,,
65.4,,,,,,,,,0.5622995630744065,
65.5,,,,,0.4718426049870809,,,,,
65.8,,,,,,,,,,0.44762886321061923
66.7,,,,,,,0.37513339123960787,,,
67,,,,,,0.7308559662712031,,,,
67.5,,0.7378655836647207,,,,,,,,
67.7,0.7035032072863876,,,,,,,,,
68,,,0.6310252178120314,,,,,0.6574253952835789,,
68.1,,,,,0.5591632163870124,,,,,
68.2,,,,,,,,,0.6489098383590538,
68.3,,,,0.6538461538461539,,,,,,
68.7,,,,,,,,,,0.5192447142080209
69.5,,,,,,,0.45864251147785084,,,
70,,,,,,0.8065496617315423,,,,
70.6,,0.8198663169472883,,,,,,,,
70.7,0.7954424637629798,,,,,,,,,
71,,,0.7286159885526438,,,,,0.7470724731530948,,
71.2,,,,,0.6501260778881175,,,,,
71.3,,,,,,,,,0.735283355932933,
71.7,,,,,,,,,,0.5901253550158791
71.78,,,,0.7211538461538461,,,,,,
72.3,,,,,,,0.5438888199528478,,,
74.9,,,,0.7948717948717948,,,,,,
75,0.8884360491902045,0.9015286121217249,0.8310828663685871,,0.7368863431186378,0.8890087263457201,0.625859287752823,0.8396875505909017,0.8207098426637395,0.6602640713858879
76,,,0.8730187598011124,,,0.9150897146779096,,0.8779747450218552,,
76.4,0.9112325902824538,,,,,,,,,
76.5,,0.9214682573257749,,,,,,,,
76.8,,,,,,,,,0.8576440455435742,
77.4,,,,,,,0.70048393100881,,,
77.66,,,,0.8365384615384616,,,,,,
77.8,,,,,0.7899324471562432,,,,,
78,,,0.906434333833183,,,,,0.9094490313528681,,
78.3,0.9332051600099232,,,,,,,,,
78.7,,0.9416476295230843,,,,,,,,0.7295517567830694
79,,,,,,0.939994117070301,,,,
79.2,,,,,,,,,0.8933514130130648,
80,,,0.931796267255963,,,,,,,
80.1,,,,,,,0.7769450304007941,,,
80.86,,,,0.8782051282051282,,,,,,
81,0.9553017684374667,,,,,,,0.9407074631698236,,
81.3,,,,,0.8431653332503191,,,,,
81.8,,0.9608257889838396,,,,,,,,
82,,,,,,0.9554858319443083,,,,
82.3,,,,,,,,,0.928520694776264,
83.2,,,,,,,0.8497084005459734,,,0.7968033463813559
84,,,0.9640211240782236,,,,,,,
84.52,,,,0.9166666666666666,,,,,,
85,,,0.9755576983127503,,,,,0.9669877502563272,,
85.7,,,,,0.8953086573483174,,,,,
86,,,0.979973989520316,,,,,0.9757568398899142,,
86.1,0.9775578551936775,,,,,,,,,
87.9,,,,,,,,,0.9641850153892512,
88,0.9822358861679129,,0.9868746589984936,,,,,0.9816928390264962,,
88.3,,,,,,,0.9250527360714729,,,
88.4,,,,,,,,,,0.8637729375507766
89,,,,,,0.9767624276889891,,,,
89.7,,0.9802013706743379,,,,,,,,
89.8,,,,,,,,,0.9715245044230645,
90,,,,,,,0.940290358605286,,,
90.5,0.9865506609490733,,,,,,,,,
91,,,,,,0.9819590155897637,,,,
92,,,0.9934905171555928,,0.9474519814463157,,,0.9874399654632777,,
92.3,,,,0.9583333333333334,,,,,,
92.4,,,,,,,0.9552549944161807,,0.9786487591743613,
93.4,,0.9842203232083933,,,0.9585655138063071,,,,,
93.52,,,,0.967948717948718,,,,,,
93.72,0.9910249140589007,,,,,,,,,
94,,,,,,0.9861751152073732,,,,0.9320450928916253
94.34,,,,0.9743589743589743,,,,,,
94.7,,,,,0.9687451358839461,,,,,
95.1,,,,,,,,,,0.945695159698396
95.3,,,,,,,,,0.9856869202126515,
95.7,,,,,0.9796407558447219,,0.9701699962774538,,,
96.1,,0.9881828693910935,,,,,,,,
96.4,,,,,,,,,,0.9602785070197466
96.7,,,,,0.990256202720792,,,,,
97,,,,,,0.9921560937346798,,,,
97.3,0.9956232058688025,,,0.9839743589743589,,,,,,
97.7,,,,,,,,,,0.9737942888603907
97.9,,0.992117212398116,,,,,,,,
98,,,,,,,,0.9942933462846042,,
98.3,,,,,,,,,0.9928542218204516,
98.76,,,,0.9903846153846154,,,,,,
98.9,,,,,,,0.9859535922571039,,,0.98700289384102
99,,,,,,0.9985292675752525,,,,
99.1,,0.9964181966889472,,,,,,,,
99.4,,,,1.0,,,,,,
99.9,1.0,,,,,,,,,
100,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
