value,ucmc_probability
0.0995,0.0025981668652807813
0.30000000000000004,0.001994968442423975
0.55,0.0022215356549116533
0.9,0.0024039663974341997
1.25,0.002042047343720116
2.0999999999999996,0.011996292536522929
3.2,0.011525503523561518
3.8499999999999996,0.010598637654293743
4.3,0.010495652557708434
5.4495000000000005,0.08413293904753498
7.050000000000001,0.0816701240234806
8.25,0.07899251151226258
9.350000000000001,0.08131408983242853
10.45,0.07988701063688926
11.7995,0.11303349958070354
13.55,0.10548322078533492
15.8,0.10532432949346045
19.4,0.10690147268688117
22.3995,0.02165629459622486
24.15,0.0220711774138971
26.65,0.0209353989201277
30.85,0.021317914993158847
264.75,0.0214032455017581
