value,emory_probability,mimic_probability,rush_probability,sunnybrook_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
0.18,,,,0.27122464312546957,,0.09137055837563451,,
0.2,0.043914759273875295,0.060214023318958636,0.2570469798657718,,0.17917322206261257,,0.19367680953600447,0.09348814724629377
0.25,,,0.362607861936721,,,,,
0.3,,0.15085449608688709,,,0.43020498438105664,,0.33717086117384115,0.3128110900236339
0.32,0.15990528808208365,,0.4700862895493768,,,,,
0.322,,,,,,0.20812182741116753,,
0.35,,,,0.4755822689706987,,,,
0.4,,,,,0.5340880589187587,,0.43630247014178286,0.45200037599369763
0.42,,,0.5677852348993289,,,,,
0.43,0.28375690607734805,,,,,,,
0.46,,,,,,0.3299492385786802,,
0.47,,,,0.5477084898572502,,,,
0.5,,0.25970292285577384,,,,,0.5551067445812865,0.5609893110363102
0.54,0.3922336227308603,,,,,,,
0.59,,,0.6743048897411313,0.6078136739293765,,,,
0.6,,0.30626098067401375,,,0.6693344277994391,,,0.6401673171954451
0.632,,,,,,0.43147208121827413,,
0.65,,,,,,,0.625171699299234,
0.69,0.5107813733228098,,,,,,,
0.8,,0.3953042644944897,,,,,,
0.854,,,,,,0.5431472081218274,,
0.88,,,,0.69045830202855,,,,
0.9,0.6214996053670087,0.4354735665229197,0.7735378715244488,,0.7705725425815719,0.6598984771573604,0.7329057341745628,0.7734503688319129
0.92,,,,,,0.7614213197969543,,
1,,,,,0.8171215541418702,,,0.8306864570651006
1.05,,,,,,0.8020304568527918,,
1.1,,,,,,,0.7953111540521035,
1.11,0.6990370955011839,,,,,,,
1.16,,,0.8206136145733461,,,,,
1.2,,0.5729116754512059,,,,,,0.8655486822316121
1.23,,,,0.758076634109692,,,,
1.388,,,,,,0.8629441624365483,,
1.4,,,,,0.8681396356339923,,0.8403836751798477,
1.44,0.774017363851618,,,,,,,
1.6,,0.6622743970611723,,,,,,
1.616,,,0.864046021093001,,,,,
1.64,,,,0.8144252441773103,,,,
1.7,,,,,,,,0.9105023096755711
2,,,,,,,0.89301096547389,
2.014,,,,,,0.9289340101522843,,
2.054,,,,,,0.9441624365482234,,
2.08,0.8487766377269139,,,,,,,
2.1,,,,,0.9118156736666895,,,
2.48,,,0.9093959731543624,,,,,
2.5,,0.7773518607251237,,,,,,
2.52,,,,0.8752817430503381,,,,
2.538,,,,,,0.9593908629441624,,
2.77,,,,,,0.9695431472081218,,
3.2,,,,,,,,0.9540661032729356
3.22,,,,,,0.9847715736040609,,
3.3,,,,,,,0.946697553139478,
3.7,,,,,0.9535649953257177,,,
3.8,,,,,,,0.9574185737899564,0.9634234226169162
3.9,0.9240726124704025,,,,,,,
4.04,,,,0.9368895567242674,,,,
4.1,,0.8841239418623223,,,,,,
4.2,,,,,0.9631529744396562,,,
4.33,,,,0.9511645379413974,,,,
4.4,,,,,,,0.9681279538099784,
4.56,0.9392896606156275,,,,,,,
4.6,,0.9095192461268168,,,,,,
4.752,,,,0.9624342599549212,,,,
4.79,,,0.9546500479386385,,,,,
4.8,,,,,,,,0.9730963080999785
5,,,,,0.9729575666370249,,,
5.47,0.9544751381215469,,,,,,,
5.488,,,,0.9744552967693464,,,,
5.5,,0.9318000319437789,,,,,0.979302959048262,
5.59,,,0.9638542665388303,,,,,
5.61,,,,,,1.0,,
6,,,,,0.9817816996146568,,,
6.1,,,,,,,,0.9818873988397909
6.71,0.9697553275453827,,,,,,,
6.738,,,,0.9872276483846731,,,,
6.8,,0.9550391311292126,,,,,,
6.9,,,0.9729626078619367,,,,,
7.5,,,,,0.990845247052922,,,
7.7,,,,,,,0.9895583544804787,
8.5,,,,,,,,0.9908508200243501
8.864,,,0.9818791946308725,,,,,
9.1,,0.976840760261939,,,,,,
9.4,0.9848776637726914,,,,,,,
11.554,,,0.9908916586768935,,,,,
14.57,,,,1.0,,,,
23.3,,,,,,,1.0,
28.4,,1.0,,,,,,
30.1,,,,,1.0,,,
36.7,,,1.0,,,,,
39.3,,,,,,,,1.0
43.29,1.0,,,,,,,
