value,ucmc_probability
0.0095,0.02192113504186106
0.025,0.004388487676018832
0.035,0.005048891161244967
0.065,0.029569033467544366
0.11,0.026245712703180588
0.15000000000000002,0.027097846232504632
0.185,0.02232589846828998
0.2595,0.09571589868132337
0.38,0.09394772160797597
0.5,0.09354295818154705
0.6200000000000001,0.09377729490211116
0.74,0.08557550968236723
0.8595,0.08088877527108498
1.0,0.08063313521228777
1.19,0.07922711488890309
1.51,0.08001533840352783
1.7895,0.01610532370422445
1.9649999999999999,0.016020110351292048
2.24,0.016020110351292048
2.785,0.015956200336592744
26.259999999999998,0.015977503674825845
