value,mimic_probability,nu_probability,ucmc_probability,ucsf_probability,umn_probability,upenn_probability
4.9995,0.27047446799200714,,,,,
6.999499999999999,,,0.016428121343055182,,0.02668570788530466,0.0393122830219871
9.0,,,0.01451525789900081,,0.011648745519713262,0.01570507521904447
9.5,,,,0.25,,
10.5,,,0.00645872715816005,,,
11.0,,,,,0.012040770609318996,0.017920317407836006
11.999500000000001,,0.26818757921419517,,,,
12.0,,,0.014402736519938788,,,
13.0,,,,,0.011788754480286738,0.018118697305339725
13.5,,,0.0068863083985957335,,,
23.6995,,,,0.15,,
25.4995,,,,,,0.18770044635476937
26.4995,,,0.18977855792600595,,,
30.4995,,,,,0.18842405913978494,
34.9995,0.16127244351745162,,,,,
37.9995,,0.1482889733840304,,,,
42.5,,,,0.15,,
58.0,,,,,,0.17741775500082657
59.5,,,0.1894860023404447,,,
60.3,,,,0.2,,
85.0,0.13719169790405625,,,,,
87.0,,,,,0.1880880376344086,
121.5,,0.1444866920152091,,,,
124.0,,,0.18575029255558556,,,
129.5,,,,,,0.18102165647214416
143.9,,,,0.1,,
210.0,0.14137775119966162,,,,,
285.5,,,,,0.18649193548387097,
330.8,,,0.1880232244126384,,,
339.9,,0.14575411913814956,,,,
373.0,,,,,,0.18098859315589352
384.9,,,,0.15,,
576.4995,,,0.03778467908902691,,,
640.0,0.14337597176237218,,,,,
669.7995000000001,,,,,,0.03636964787568193
808.5,,,0.037559636330902875,,,
964.9000000000001,,,,,,0.03636964787568193
1049.4,,0.14651457541191382,,,,
1144.9995,0.029302373069237612,,,,,
1270.5,,,0.03762714915834008,,,
1377.0,,,,,0.18721998207885304,
1567.1,,,,,,0.03633658455943131
1575.0,0.029637840754948148,,,,,
1839.9995,,0.029657794676806085,,,,
2275.0,0.02899607648663234,,,,,
2285.5,,,0.03764965343415249,,,
2455.0,,0.029657794676806085,,,,
2819.9995,,,,,0.03755040322580645,
2934.7,,,,,,0.03636964787568193
3389.0,,0.02864385297845374,,,,
3540.0,0.029156517553711292,,,,,
4191.3,,,,,0.03749439964157706,
4796.0,,0.029404309252217996,,,,
6426.4,,,,,0.03752240143369175,
6494.0,,,0.03764965343415249,,,
6945.7,,,,,,0.03636964787568193
7185.0,0.029214859759921823,,,,,
7812.0,,0.029404309252217996,,,,
8900.1,,,,,0.0750448028673835,
