value,emory_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability,upenn_probability
14.4995,,,,,,,0.0007346524871773111
17.299500000000002,,,,,,0.0004891135703620832,
21.4995,,,0.0006010063317951219,,,,
25.499499999999998,,,,0.001672733827566348,,,
25.799500000000002,0.0008442380751371887,,,,,,
28.499499999999998,,,,,0.0008817221168903879,,
30.5,,,,,,,0.0007442273418680107
32.6,0.0008442380751371887,,,,,,
35.0,,,,0.0009364254212768688,,,
37.0,,,0.0005547750755031895,,,,
38.0,0.0008442380751371887,,,,,,
38.5,,,,,0.0008560277607233367,,
38.8,,,,,,0.0005378162018348368,
39.0,,,,,,,0.000752496534555433
40.599999999999994,0.0008442380751371887,,,,,,
41.3,,,,0.0006874248606437046,,,
43.0,,,,,0.0008668464370042003,,
44.0,,,0.0007151692299854042,,,,
44.0,,,,,,,0.0006876486550593314
45.3,,,,0.0008249098327724456,,,
45.5,,,,,,0.000520422404880282,
45.9,0.0008442380751371887,,,,,,
46.5,,,,,0.0008425044153722571,,
47.5,,,,,,,0.0006754624763620774
48.5,,,0.0005293007097913083,,,,
49.0,,,,,0.0006099028753336885,,
49.5,,,,,,0.0004779815403111681,
51.0,,,0.00048589993857847376,,,,
52.0,,,,,,0.00041953838254386367,
52.5,,,,0.004009978353754944,,,
54.0,,,,,,,0.0038530085716710514
54.5,,,,,0.004194941727904882,,
55.2,0.004221190375685944,,,,,,
56.0,,,0.0029191736115763067,,,,
57.0,,,,,,0.002763526460139679,
61.0,,,,0.004342997508466783,,,
61.3,0.005065428450823132,,,,,,
61.5,,,,,0.0038433347487768135,,0.003459133867349093
62.5,,,0.003134290477587747,,,,
63.0,,,,,,0.002391994957190387,
64.1,0.0033769523005487546,,,,,,
65.0,,0.4,,,,,
66.0,,,,,0.004290957479897547,,0.0040736654502249005
66.0,,,,0.004482010091396954,,,
66.5,,,0.0026502775290620055,,,0.0025367113478522835,
67.6,0.004221190375685944,,,,,,
69.0,,,,0.0027955277666177323,,,
69.0,,,0.0021634340954571657,,0.0028358455201213857,0.0020065484166774507,0.002542994361716249
75.5,,0.4,,,,,
77.39949999999999,0.03799071338117349,,,,,,
77.4995,,,,0.0390396216413567,0.039490873094222556,,
77.9995,,,,,,,0.03975436145511678
78.4995,,,0.03847195319509873,,,0.03968012111648695,
88.9,0.038412832418742084,,,,,,
89.0,,,,0.03387171430011748,,,
89.5,,,,,0.04035366252762143,,
90.0,,,,,,,0.035692011742253615
91.0,,,,,,0.03677396552131992,
91.5,,,0.042701641398297366,,,,
96.0,0.039257070493879276,,,,,,
96.5,,,,0.0384026079371602,,,
97.0,,,,,0.035872025878273664,,
97.5,,,,,,,0.04237656597836518
98.0,,,,,,0.03790873683463508,
99.0,,,0.04090900084820203,,,,
102.0,0.037146475306036306,,,,,,
102.5,,,,0.03197289407393942,,,
103.0,,,,,0.04185745853066148,,
103.5,,,,,,0.038557873336979076,0.03687972894456812
104.0,,,0.033026099902914365,,,,
107.5,0.037146475306036306,,,0.03496242841233882,,,
108.0,,,0.03714634268305455,,0.030180049820004273,0.03527253296820275,0.032900506379246935
116.9995,,,0.16228774900013115,,,,
117.4995,,,,,,0.16512488050461493,
117.9995,,,,,,,0.1586718806102664
119.4995,,,,0.16574729956600578,0.16198398294976618,,
119.9995,0.15913887716336006,,,,,,
131.0,,,0.16256324954783,,,,
132.5,,,,,,0.16188545975979862,
134.5,,,,,,,0.1601046270485293
137.5,,,,0.154583519829152,,,
139.5,,,,,0.15863425030630376,,
139.5,0.16040523427606584,,,,,,
145.5,,,0.15013836354561658,,,,
149.0,,,,,,0.15738951112298527,
153.5,,,,,,,0.1599148708373863
156.5,,,,0.1614394371059719,,,
159.0,0.15196285352469396,,,,,,
161.0,,0.2,,,,,
162.5,,,,,0.15395922981843557,,
165.5,,,0.15784105694086834,,,,
173.0,,,,,,0.1538404807923779,
180.0,,,,,,,0.15508305098392514
181.9995,,,0.03401676968059863,,,,
184.5,,,,0.1576677660372401,,,
186.0,0.1574504010130857,,,,,,
191.5,,,0.03133063934053472,,,,
192.9995,,,,,,0.03434509571458588,
194.0,,,,,0.15837460207556303,,
200.9995,,,,,,,0.03441812084772282
204.5,,,,,,0.03025894493402185,
205.5,,,0.032642097427183416,,,,
207.9995,,,,0.03406113803949485,,,
208.4995,0.03376952300548755,,,,,,
212.5,,,,,,,0.03140465294415901
218.4995,,,,,0.032756247109384934,,
220.1,0.030392570704938792,,,,,,
221.0,,,,,,0.033053084476801546,
222.0,,,,0.03110673874952835,,,
228.0,,,,,,,0.03129802388055804
229.0,,,0.03137970108190575,,,,
231.5,,,,,0.03221260862627153,,
237.89999999999998,0.031658927817644573,,,,,,
242.5,,,,0.03343023477850407,,,
248.0,,,,,,0.03194475173485731,
249.5,,,,,0.03174470087712418,,
253.5,,,,,,,0.03242829195472834
274.3,0.032503165892781766,,,,,,
275.5,,,,0.03190567919867648,,,
278.0,,,,,0.03190427635226692,,
420.0,0.031658927817644573,,,,,,
422.0,,,0.03179200840842768,,,,
432.5,,,,,,0.03182090790054088,
497.0,,,,,0.03145394895207597,,
498.0,,,,0.03205691266801809,,,
666.0,,,,,,,0.031550016647190544
