value,ucmc_probability
0.0995,0.002657779404309442
0.35,0.0026817774124747646
0.65,0.002126823473651687
1.0,0.0025047921022555127
1.35,0.002243813763457633
2.15,0.012553958021484218
3.2,0.012523960511277564
3.8499999999999996,0.011096079025440889
4.3,0.011309061347908123
5.4495000000000005,0.08785070839120353
7.050000000000001,0.08369905297860278
8.25,0.08000635947216381
9.350000000000001,0.0820461901662162
10.45,0.0796883858639733
11.7995,0.11110477830340082
13.55,0.101298592216846
15.8,0.10300545054760454
19.450000000000003,0.10552824115598405
22.549500000000002,0.02234814510395637
24.3,0.020170325862953375
26.8,0.021208239716103562
31.049999999999997,0.021307231499785518
264.84999999999997,0.02104025365894631
