value,ucmc_probability
0.0345,0.027659853822924418
0.09,0.02151078821830277
0.13,0.023808481771631144
0.16999999999999998,0.025121449516390212
0.20500000000000002,0.018118954877675172
0.31,0.12079303251783448
0.49,0.11155849271302902
0.6799999999999999,0.11455643573022889
0.89,0.11123025077683925
1.0895,0.08116328942185654
1.2999999999999998,0.08118517221760252
1.5699999999999998,0.07733380016630925
1.975,0.08013479802179527
3.115,0.07956584533239967
4.2295,0.005295636570528251
4.8,0.005251870979036281
5.68,0.005273753774782266
7.779,0.005186222591798328
10.0215,0.0010503741958072562
11.966999999999999,0.0010503741958072562
15.841999999999999,0.0010503741958072562
23.219,0.0010503741958072562
38.957,0.0010503741958072562
