value,sunnybrook_probability,ucmc_probability
0.01,0.008144224209063664,0.01963370597011698
0.02,,0.025450299478885118
0.03,0.009351569727775734,0.03029385689882587
0.08,,0.06117153545094817
0.1,0.02296456905266241,
0.12,,0.08889225247043052
0.16,0.028415484027676075,
0.17,,0.12392155166821632
0.2,0.04609345140077084,0.14664735009838475
0.31,,0.23776677406102018
0.4,0.1661743221183556,
0.43,,0.3302052024996216
0.5,0.2558893814318832,
0.55,,0.4223409085994767
0.6,0.3600640107446607,
0.67,,0.5120980820377538
0.7,0.4631813197215247,
0.8,0.5580400995881452,0.6000389214435531
0.89,0.6472515029308491,
0.93,,0.6852120137522434
1,0.7577236178930035,
1.09,,0.7606547451726599
1.16,0.8235703850289156,
1.32,,0.8410059030856055
1.41,0.9109993463188464,
1.5,0.9306169249838365,
1.61,0.946737488078356,
1.74,,0.9190650204337578
1.8,0.9667015534750476,
1.88,,0.9354552727744503
2.09,,0.9518671481393388
2.1,0.9826649473304447,
2.4,,0.9680195472138733
3.1,,0.9839557160464463
41.4,1.0,
47.93,,1.0
