value,ucmc_probability
8.4995,0.019018774332405248
20.0,0.016425305105259077
27.5,0.016395495114142455
34.5,0.019886245073898967
40.5,0.014603914648033435
56.5,0.08480048172945645
83.5,0.08381377102349624
110.0,0.08197151357248895
136.5,0.08343220313720347
163.9995,0.08647282223109898
193.5,0.084424875841387
227.0,0.08577228743985835
267.0,0.08401051696486594
319.5,0.083974744975526
365.4995,0.031667153563188236
401.0,0.030990466764840904
448.5,0.03042109593451341
525.5,0.030766891831466234
591.4995,0.0063972240936272205
629.0,0.006087200186014345
681.5,0.006254136136267432
765.5,0.0062243261451508086
1406.5,0.006188554155810861
