value,sunnybrook_probability,ucmc_probability
0.05,0.3720489231425351,
0.07,,0.5798807420494699
0.1,0.5577687574252902,
0.17,,0.748476148409894
0.22,0.7418931062844609,
0.5,0.9216232065068389,0.9336793286219082
0.56,,0.9482332155477032
0.6,0.957995704755232,
0.65,,0.9604240282685512
0.7,0.9704016510799037,
0.82,,0.9735865724381625
0.9,0.9834853931215158,
0.94,0.9870114539860481,
1.02,0.9901262680110884,
1.14,,0.9867491166077739
1.2,0.9940216894629421,
1.27,,0.9894213780918728
1.5,0.9969765741615134,0.9921378091872791
1.958,,0.9946996466431095
3.184,,0.9973498233215548
24.07,1.0,
44.5,,1.0
