Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__NU,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UCSF,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,33329,49167,21321,56299,25163,19417,3151,23216,33374,69284,72086,405807
Total comorbidities across all patients,90390,113691,44381,152486,49643,60454,7276,51621,86492,164231,174778,995443
Average comorbidities per hospitalization,2.71,2.31,2.08,2.71,1.97,3.11,2.31,2.22,2.59,2.37,2.42,
Most common comorbidity,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,cerebrovascular_disease,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,congestive_heart_failure,
Most common: per 1000 hospitalizations,495.5,360.0,330.9,448.7,286.4,428.5,405.9,423.0,343.7,386.6,465.0,
