Variable,Overall__Emory,Overall__MIMIC,Overall__NU,Overall__OHSU,Overall__RUSH,Overall__UCMC,Overall__UCSF,Overall__UMN,Overall__UPenn,Overall__ALL
N: Encounter blocks,"33,340","40,683","56,341","25,410","20,981","23,246","33,374","69,284","72,099","374,758"
N: Unique patients,"28,375","35,271","48,227","23,307","17,171","20,049","28,852","55,631","59,709","316,592"
N: Hospitals,9,1,10,2,1,1,7,12,8,51
"Age at admission, median [Q1, Q3]","65 [53, 74]","66 [55, 76]","66 [56, 75]","62 [49, 71]","63 [52, 72]","62 [48, 71]","62 [50, 72]","65 [54, 74]","65 [55, 74]","64.5 [48, 76]"
  Race: Black or African American,"13,623 (48.0%)","3,006 (8.5%)","6,504 (13.5%)",545 (2.3%),"6,260 (36.5%)","11,462 (57.2%)","2,553 (8.8%)","3,491 (6.3%)","17,143 (28.7%)","64,587 (20.4%)"
  Race: unknown,,,,,,,,,"3,704 (6.2%)","3,704 (6.2%)"
  Race: other,,,,,,,,,"2,080 (3.5%)","2,080 (3.5%)"
  Race: White,"11,219 (39.5%)","22,950 (65.1%)","34,453 (71.4%)","19,621 (84.2%)","6,931 (40.4%)","5,805 (29.0%)","14,514 (50.3%)","46,697 (83.9%)","34,585 (57.9%)","196,775 (62.2%)"
Race: Other,"2,431 (8.6%)","8,344 (23.6%)","5,425 (11.2%)","2,550 (11.0%)","3,355 (19.6%)","2,374 (11.8%)","6,682 (23.1%)","2,731 (5.0%)",,"33,892 (13.2%)"
  Race: Asian,"1,102 (3.9%)",971 (2.8%),"1,845 (3.8%)",591 (2.5%),625 (3.6%),408 (2.0%),"5,103 (17.7%)","2,712 (4.9%)","1,985 (3.3%)","15,342 (4.8%)"
  Race: american indian or alaska native,,,,,,,,,125 (0.2%),125 (0.2%)
  Race: native hawaiian or other pacific islander,,,,,,,,,87 (0.1%),87 (0.1%)
  Ethnicity: Non-Hispanic,"25,187 (88.8%)","27,059 (76.7%)","41,981 (87.0%)","19,937 (85.5%)","13,683 (79.7%)","17,550 (87.5%)","22,987 (79.7%)","54,772 (98.5%)","55,972 (93.7%)","279,128 (88.2%)"
  Ethnicity: Unknown,"2,013 (7.1%)","6,973 (19.8%)","1,829 (3.8%)","1,816 (7.8%)",275 (1.6%),"1,291 (6.4%)","1,191 (4.1%)",19 (0.0%),"1,718 (2.9%)","17,125 (5.4%)"
