,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,858,946,0,85,103,0,14,16,0,2022
Asian,6034,8757,0,62,96,0,158,329,0,15436
Native Hawaiian or Other Pacific Islander,382,462,0,11,43,0,0,21,0,919
Black or African American,27917,30398,0,178,187,0,927,1231,0,60838
White,70761,104693,0,2674,4109,0,1804,3048,0,187091
Other,1924,3040,0,4424,6898,0,748,1345,0,18379
Unknown,1279,2009,0,392,767,0,5358,9162,40,19007
Total,109155,150305,0,7826,12203,0,9009,15152,40,363401
