data_type,category,reference_unit,emory__total_number_of_stays,mimic__total_number_of_stays,nu__total_number_of_stays,ohsu__total_number_of_stays,rush__total_number_of_stays,sunnybrook__total_number_of_stays,ucmc__total_number_of_stays,umn__total_number_of_stays,upenn__total_number_of_stays,all__total_number_of_stays,emory__total_observations,mimic__total_observations,nu__total_observations,ohsu__total_observations,rush__total_observations,sunnybrook__total_observations,ucmc__total_observations,umn__total_observations,upenn__total_observations,all__total_observations,emory__total_distinct_observations,mimic__total_distinct_observations,nu__total_distinct_observations,ohsu__total_distinct_observations,rush__total_distinct_observations,sunnybrook__total_distinct_observations,ucmc__total_distinct_observations,umn__total_distinct_observations,upenn__total_distinct_observations,all__total_distinct_observations,emory__mean_icu_los_days,mimic__mean_icu_los_days,nu__mean_icu_los_days,ohsu__mean_icu_los_days,rush__mean_icu_los_days,sunnybrook__mean_icu_los_days,ucmc__mean_icu_los_days,umn__mean_icu_los_days,upenn__mean_icu_los_days,all__mean_icu_los_days,emory__mean_icu_los_hours,mimic__mean_icu_los_hours,nu__mean_icu_los_hours,ohsu__mean_icu_los_hours,rush__mean_icu_los_hours,sunnybrook__mean_icu_los_hours,ucmc__mean_icu_los_hours,umn__mean_icu_los_hours,upenn__mean_icu_los_hours,all__mean_icu_los_hours,emory__whole_stay_mean,mimic__whole_stay_mean,nu__whole_stay_mean,ohsu__whole_stay_mean,rush__whole_stay_mean,sunnybrook__whole_stay_mean,ucmc__whole_stay_mean,umn__whole_stay_mean,upenn__whole_stay_mean,all__whole_stay_mean,emory__whole_stay_median,mimic__whole_stay_median,nu__whole_stay_median,ohsu__whole_stay_median,rush__whole_stay_median,sunnybrook__whole_stay_median,ucmc__whole_stay_median,umn__whole_stay_median,upenn__whole_stay_median,all__whole_stay_median,emory__whole_stay_iqr,mimic__whole_stay_iqr,nu__whole_stay_iqr,ohsu__whole_stay_iqr,rush__whole_stay_iqr,sunnybrook__whole_stay_iqr,ucmc__whole_stay_iqr,umn__whole_stay_iqr,upenn__whole_stay_iqr,all__whole_stay_iqr,emory__first_24hr_mean,mimic__first_24hr_mean,nu__first_24hr_mean,ohsu__first_24hr_mean,rush__first_24hr_mean,sunnybrook__first_24hr_mean,ucmc__first_24hr_mean,umn__first_24hr_mean,upenn__first_24hr_mean,all__first_24hr_mean,emory__first_24hr_median,mimic__first_24hr_median,nu__first_24hr_median,ohsu__first_24hr_median,rush__first_24hr_median,sunnybrook__first_24hr_median,ucmc__first_24hr_median,umn__first_24hr_median,upenn__first_24hr_median,all__first_24hr_median,emory__first_24hr_iqr,mimic__first_24hr_iqr,nu__first_24hr_iqr,ohsu__first_24hr_iqr,rush__first_24hr_iqr,sunnybrook__first_24hr_iqr,ucmc__first_24hr_iqr,umn__first_24hr_iqr,upenn__first_24hr_iqr,all__first_24hr_iqr,emory__first_48hr_mean,mimic__first_48hr_mean,nu__first_48hr_mean,ohsu__first_48hr_mean,rush__first_48hr_mean,sunnybrook__first_48hr_mean,ucmc__first_48hr_mean,umn__first_48hr_mean,upenn__first_48hr_mean,all__first_48hr_mean,emory__first_48hr_median,mimic__first_48hr_median,nu__first_48hr_median,ohsu__first_48hr_median,rush__first_48hr_median,sunnybrook__first_48hr_median,ucmc__first_48hr_median,umn__first_48hr_median,upenn__first_48hr_median,all__first_48hr_median,emory__first_48hr_iqr,mimic__first_48hr_iqr,nu__first_48hr_iqr,ohsu__first_48hr_iqr,rush__first_48hr_iqr,sunnybrook__first_48hr_iqr,ucmc__first_48hr_iqr,umn__first_48hr_iqr,upenn__first_48hr_iqr,all__first_48hr_iqr,emory__first_72hr_mean,mimic__first_72hr_mean,nu__first_72hr_mean,ohsu__first_72hr_mean,rush__first_72hr_mean,sunnybrook__first_72hr_mean,ucmc__first_72hr_mean,umn__first_72hr_mean,upenn__first_72hr_mean,all__first_72hr_mean,emory__first_72hr_median,mimic__first_72hr_median,nu__first_72hr_median,ohsu__first_72hr_median,rush__first_72hr_median,sunnybrook__first_72hr_median,ucmc__first_72hr_median,umn__first_72hr_median,upenn__first_72hr_median,all__first_72hr_median,emory__first_72hr_iqr,mimic__first_72hr_iqr,nu__first_72hr_iqr,ohsu__first_72hr_iqr,rush__first_72hr_iqr,sunnybrook__first_72hr_iqr,ucmc__first_72hr_iqr,umn__first_72hr_iqr,upenn__first_72hr_iqr,all__first_72hr_iqr
labs,wbc,10^3/µl,45608.0,,56742.0,25429.0,23078.0,,,,,150857,523871.0,,836586.0,335441.0,280613.0,,,,,1976511,523871.0,,836586.0,335441.0,280613.0,,,,,1976511,10.94,,11.55,12.23,9.86,,,,,11.221669,262.55,,277.08,293.5,236.65,,,,,269.270063,11.49,,14.74,13.19,12.16,,,,,13.10148,6.0,,9.0,8.0,8.0,,,,,7.771479,10.0,,11.0,12.0,11.0,,,,,12.0,1.66,,2.01,2.17,1.86,,,,,1.908209,1.0,,2.0,2.0,1.0,,,,,1.544695,1.0,,2.0,2.0,1.0,,,,,2.0,2.73,,3.26,3.46,3.05,,,,,3.101354,2.0,,3.0,3.0,3.0,,,,,2.697674,1.0,,2.0,2.0,1.0,,,,,2,3.63,,4.34,4.51,4.04,,,,,4.108111,3.0,,4.0,4.0,3.0,,,,,3.544695,2.0,,2.0,2.0,2.0,,,,,2.0
labs,monocytes_absolute,10^3/µl,18222.0,11033.0,39416.0,13313.0,16665.0,,,,,98649,59567.0,36368.0,330339.0,83265.0,122209.0,,,,,631748,59567.0,36368.0,330339.0,83265.0,122209.0,,,,,631748,14.5,16.85,13.33,15.13,11.46,,,,,13.86681,348.02,404.33,319.84,363.01,275.09,,,,,332.760938,3.27,3.3,8.38,6.25,7.33,,,,,6.403122,1.0,2.0,4.0,2.0,5.0,,,,,3.121197,1.0,2.0,8.0,6.0,7.0,,,,,8.0,0.78,0.65,1.05,1.01,1.19,,,,,0.973643,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,0.98,0.85,1.68,1.58,1.87,,,,,1.476473,1.0,1.0,2.0,1.0,2.0,,,,,1.56849,0.0,1.0,1.0,1.0,2.0,,,,,2,1.15,1.02,2.25,2.03,2.45,,,,,1.913345,1.0,1.0,2.0,1.0,2.0,,,,,1.56849,0.0,1.0,2.0,2.0,3.0,,,,,3.0
labs,ast,u/l,36090.0,24459.0,44974.0,15642.0,18689.0,280.0,20701.0,67855.0,58985.0,287675,277707.0,163718.0,389414.0,91663.0,172196.0,875.0,157489.0,376951.0,535634.0,2165647,277707.0,163718.0,389414.0,91663.0,172196.0,875.0,157489.0,376951.0,535634.0,2165647,12.45,14.07,12.86,14.85,11.05,38.2,13.02,10.54,14.25,12.676014,298.87,337.68,308.76,356.29,265.19,916.8,312.5,252.93,342.07,304.253968,7.69,6.69,8.66,5.86,9.21,3.12,7.61,5.56,9.08,7.528257,4.0,3.0,3.0,2.0,6.0,1.5,3.0,2.0,5.0,3.438724,8.0,6.0,9.0,6.0,9.0,3.0,8.0,4.0,8.0,9.0,1.32,1.09,1.37,1.17,1.53,0.62,1.41,1.2,1.36,1.29944,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.999027,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.99,1.7,2.02,1.73,2.38,0.88,2.08,1.73,2.09,1.945806,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.623756,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2,2.55,2.19,2.57,2.16,3.1,1.08,2.62,2.15,2.7,2.477057,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.978785,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0
labs,glucose_fingerstick,mg/dl,2494.0,,1.0,22951.0,19074.0,768.0,25288.0,42593.0,71939.0,185108,9066.0,,1.0,1020367.0,822288.0,36859.0,916919.0,1758460.0,2830824.0,7394784,9066.0,,1.0,1020367.0,822288.0,36859.0,916919.0,1758460.0,2830824.0,7394784,12.8,,16.55,12.8,10.92,20.34,11.85,9.09,12.81,11.658024,307.18,,397.28,307.25,262.12,488.27,284.51,218.26,307.4,279.825577,3.64,,1.0,44.46,43.11,47.99,36.26,41.29,39.35,39.949784,3.0,,1.0,22.0,20.0,19.0,19.0,20.0,20.0,19.878066,5.0,,0.0,46.0,43.0,34.0,37.0,38.0,38.0,46.0,2.86,,0.0,5.99,5.16,5.4,4.08,6.57,4.31,5.079448,2.0,,0.0,4.0,4.0,4.0,3.0,5.0,3.0,3.677885,4.0,,0.0,9.0,4.0,9.0,4.0,5.0,4.0,9.0,3.05,,0.0,11.4,9.39,8.65,7.15,11.19,8.15,9.176934,2.0,,0.0,7.0,7.0,7.0,6.0,9.0,7.0,7.25618,4.0,,0.0,15.0,7.0,13.0,6.0,9.0,8.0,15,3.13,,0.0,15.58,12.82,11.14,9.79,14.88,11.29,12.490069,2.0,,0.0,11.0,10.0,10.0,8.0,13.0,10.0,10.433217,4.0,,0.0,20.0,11.0,16.0,9.0,13.0,11.0,20.0
labs,lymphocytes_percent,%,18478.0,19193.0,38705.0,13968.0,16740.0,1377.0,15673.0,59966.0,68995.0,253095,60411.0,60806.0,321184.0,87693.0,124490.0,22494.0,62872.0,240071.0,589780.0,1569801,60411.0,60806.0,321184.0,87693.0,124490.0,22494.0,62872.0,240071.0,589780.0,1569801,14.59,15.45,13.43,15.23,11.44,19.13,13.63,10.37,12.65,12.741348,350.04,370.76,322.36,365.41,274.6,459.16,327.04,248.8,303.68,305.781363,3.27,3.17,8.3,6.28,7.44,16.34,4.01,4.0,8.55,6.202814,1.0,2.0,4.0,3.0,5.0,10.0,1.0,2.0,4.0,3.013268,1.0,2.0,8.0,6.0,7.0,13.0,3.0,3.0,7.0,13.0,0.78,0.65,1.02,1.04,1.21,2.47,1.01,0.89,1.13,0.994546,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.005441,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.98,0.87,1.65,1.61,1.89,3.85,1.33,1.29,1.86,1.519706,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.507995,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3,1.16,1.05,2.21,2.06,2.48,4.98,1.59,1.6,2.49,1.963433,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.513436,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0
labs,bilirubin_total,mg/dl,36133.0,24300.0,45070.0,15674.0,18692.0,966.0,20779.0,68080.0,69893.0,299587,280103.0,163052.0,390184.0,92286.0,173241.0,5573.0,159128.0,386022.0,572069.0,2221658,280103.0,163052.0,390184.0,92286.0,173241.0,5573.0,159128.0,386022.0,572069.0,2221658,12.45,14.1,12.85,14.83,11.05,23.73,12.99,10.52,13.3,12.514723,298.72,338.29,308.4,355.85,265.19,569.45,311.85,252.47,319.08,300.306238,7.75,6.71,8.66,5.89,9.27,5.77,7.66,5.67,8.18,7.415088,4.0,3.0,3.0,2.0,6.0,3.0,3.0,2.0,4.0,3.26152,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,7.0,9.0,1.33,1.09,1.38,1.18,1.54,1.08,1.43,1.24,1.3,1.301989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.01,1.71,2.02,1.74,2.39,1.56,2.1,1.78,1.98,1.94228,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.636099,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2,2.57,2.2,2.57,2.17,3.12,1.94,2.65,2.21,2.54,2.468087,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.006849,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0
labs,total_protein,g/dl,36209.0,1907.0,45277.0,15994.0,18694.0,55.0,20873.0,68372.0,67321.0,274702,279505.0,2618.0,392601.0,94344.0,172243.0,97.0,159520.0,380125.0,512743.0,1993796,279505.0,2618.0,392601.0,94344.0,172243.0,97.0,159520.0,380125.0,512743.0,1993796,12.44,24.84,12.84,14.9,11.05,68.34,12.97,10.51,13.53,12.478869,298.61,596.1,308.06,357.53,265.25,1640.13,311.25,252.19,324.73,299.469587,7.72,1.37,8.67,5.9,9.21,1.76,7.64,5.56,7.62,7.258538,4.0,1.0,3.0,2.0,6.0,1.0,3.0,2.0,4.0,3.259634,8.0,0.0,9.0,6.0,9.0,1.0,8.0,4.0,6.0,9.0,1.32,0.25,1.38,1.17,1.53,0.13,1.43,1.22,1.22,1.286742,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.992858,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.38,2.02,1.73,2.38,0.27,2.09,1.75,1.86,1.912149,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.678597,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2,2.57,0.48,2.58,2.16,3.1,0.45,2.64,2.17,2.39,2.430559,2.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,1.995544,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0
labs,crp,mg/l,4279.0,3030.0,8550.0,2880.0,2381.0,243.0,5259.0,21993.0,10062.0,58677,7424.0,7852.0,38797.0,7124.0,7683.0,997.0,18211.0,74159.0,20050.0,182297,7424.0,7852.0,38797.0,7124.0,7683.0,997.0,18211.0,74159.0,20050.0,182297,20.52,23.82,20.15,24.51,19.12,45.73,20.36,15.33,24.43,19.590788,492.58,571.65,483.7,588.14,458.92,1097.62,488.67,368.02,586.38,470.24682,1.73,2.59,4.54,2.47,3.23,4.1,3.46,3.37,1.99,3.1052,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.378956,1.0,1.0,3.0,1.0,1.0,4.5,2.0,3.0,1.0,4.5,0.43,0.37,0.66,0.34,0.54,0.26,0.47,0.61,0.29,0.506802,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.520528,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6,0.56,0.98,0.48,0.84,0.49,0.67,0.96,0.41,0.765324,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.723657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.74,0.73,1.27,0.6,1.07,0.72,0.85,1.26,0.52,0.990185,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.775295,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
labs,bilirubin_conjugated,mg/dl,9112.0,4289.0,23897.0,8170.0,3715.0,52.0,16999.0,27378.0,59769.0,153381,30134.0,11310.0,165288.0,31430.0,7190.0,98.0,104454.0,101151.0,496033.0,947088,30134.0,11310.0,165288.0,31430.0,7190.0,98.0,104454.0,101151.0,496033.0,947088,20.23,21.24,16.56,19.75,19.2,47.68,14.02,15.4,14.32,15.791868,485.56,509.72,397.43,474.12,460.76,1144.44,336.36,369.51,343.79,379.023504,3.31,2.64,6.92,3.85,1.94,1.88,6.14,3.69,8.3,6.174765,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2.488926,2.0,2.0,6.0,3.0,1.0,2.0,6.0,2.0,7.0,7.0,0.47,0.66,0.79,0.5,0.34,0.04,1.08,0.58,1.27,0.922454,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.656307,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.78,0.96,1.23,0.86,0.54,0.15,1.6,0.95,1.95,1.430524,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.337154,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2,1.03,1.18,1.61,1.14,0.69,0.46,2.04,1.23,2.51,1.846348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.389338,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,3.0,3.0
labs,lactate,mmol/l,26973.0,29750.0,40281.0,17710.0,13990.0,1337.0,22575.0,61093.0,69126.0,282835,226310.0,237669.0,407625.0,136847.0,122757.0,13866.0,192660.0,408191.0,1683814.0,3429739,226310.0,237669.0,407625.0,136847.0,122757.0,13866.0,192660.0,408191.0,1683814.0,3429739,13.42,12.6,13.22,14.28,12.44,19.29,12.39,10.77,13.22,12.63489,322.04,302.43,317.31,342.7,298.46,463.03,297.47,258.42,317.17,303.204047,8.39,7.99,10.12,7.73,8.77,10.37,8.53,6.68,24.36,12.126082,3.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,8.0,4.738317,7.0,6.0,7.0,8.0,8.0,8.0,7.0,5.0,17.0,17.0,3.13,2.74,3.28,4.55,2.81,3.27,3.26,2.39,6.17,3.777612,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,2.419966,3.0,3.0,4.0,6.0,3.0,2.0,4.0,2.0,7.0,7.0,3.98,3.74,4.31,5.29,3.84,4.58,4.28,3.16,8.4,5.006781,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,5.0,3.027518,4.0,4.0,5.0,7.0,5.0,4.0,4.0,3.0,10.0,10,4.52,4.37,4.98,5.67,4.49,5.37,4.9,3.66,9.98,5.823292,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,3.439723,5.0,5.0,5.0,8.0,5.0,4.0,4.0,3.0,12.0,12.0
