value,emory_probability,mimic_probability,nu_probability,rush_probability,sunnybrook_probability,umn_probability,upenn_probability
71,0.005906007623010625,,,,,,
77,,0.007132538399668908,,0.00697713103412184,,,
79,0.012422821504093393,,0.009218619968846617,,,,0.006727296867084442
80,,,,,,0.008054390190522365,
81,,,,,0.007031983599083336,,
83,0.018410208076381107,,,0.014973512570237013,,,
84,,0.01499545789376417,,,,,0.01261636364526552
85,,,0.019111168271298457,0.0204304900439287,,0.016602295728157752,
86,0.026301181325294867,,,,0.014007807947439773,,
87,0.03028936869119752,0.023647064029381833,0.027161110931472526,0.029755136904157434,,0.024066606935986695,0.020712534455850286
88,0.03609233756854552,0.029205873242699444,,0.03773282802764437,0.02256635698563712,,0.025759627117931384
89,0.043761143191676205,0.03678455319470148,0.043318858785514044,0.0484044306246149,0.03079821618896078,0.03933262385081323,0.03254913243689802
90,0.0579152012782993,0.049092229484386345,0.0611030787000963,0.06557593571993289,0.04463633865839777,0.05526938218643778,0.04502221504137006
91,,0.06727366905875586,0.08610941805121418,,0.06549678292034142,0.07894886724205873,0.0628499765422296
92,0.10450851756021579,,,0.12293307399347456,,,
93,,0.13741836572675,0.17014405096570867,,0.15178698131950086,0.16379809064202963,0.12932647542751752
94,0.19107932003091782,0.19595973793738922,0.23166845643425296,0.2277981260992299,0.22445765562302047,0.22884483004366468,0.18263004662465868
95,0.2556545992721071,0.2748554725222095,0.30674849757986306,0.3021685239745038,0.3192472244950951,0.3097787449560679,0.2525366504262287
96,,0.4491120117235797,0.4693463502963753,0.4642374529702492,0.5250153230213677,0.48489603074308607,0.40844125491727573
97,0.4947688497472302,,,,0.6427402091177261,0.5887496425844476,
98,0.6018722109144333,0.6693742305099393,0.6688809215799778,0.6700288642272355,0.7544602824266835,,0.6128222275406608
99,0.713334760817057,0.7792817485417106,0.7695736430810389,0.7750565229228565,,0.7991003680693547,0.720020062225732
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0
