Metric,Value__Emory,Value__JHU,Value__MIMIC,Value__OHSU,Value__RUSH,Value__Sunnybrook,Value__UCMC,Value__UMN,Value__UPenn,Value__ALL
Total hospitalizations,463225,768599,177567,198648,183833,167599,96367,999337,712231,3767406
Total comorbidities across all patients,709143,1062643,268339,239268,349790,298488,158974,1528617,1130355,5745617
Average comorbidities per hospitalization,1.53,1.38,1.51,1.20,1.90,1.78,1.65,1.53,1.59,
Most common comorbidity,renal_disease,chronic_pulmonary_disease,chronic_pulmonary_disease,chronic_pulmonary_disease,renal_disease,metastatic_solid_tumor,chronic_pulmonary_disease,renal_disease,chronic_pulmonary_disease,
Most common: per 1000 hospitalizations,246.9,212.5,201.9,184.7,263.3,380.6,279.5,229.1,231.0,
