Variable,Overall__Emory,Overall__MIMIC,Overall__OHSU,Overall__RUSH,Overall__Sunnybrook,Overall__UCMC,Overall__UMN,Overall__UPenn,Overall__ALL
  Admission type: osh,"27,315 (5.9%)",,"20,894 (10.4%)",31 (0.0%),,"14,611 (9.2%)","20,080 (2.0%)","45,628 (6.4%)","128,559 (4.7%)"
  Admission type: facility,"12,441 (2.7%)",,164 (0.1%),"9,330 (4.7%)",,"4,408 (2.8%)","33,762 (3.4%)","8,818 (1.2%)","68,923 (2.6%)"
  Admission type: other,230 (0.0%),,"49,333 (24.5%)",<10,"2,401 (1.3%)",130 (0.1%),185 (0.0%),540 (0.1%),"52,819 (2.1%)"
  Admission type: direct,216 (0.0%),"26,586 (6.4%)","38,551 (19.2%)","31,031 (15.6%)",,"11,387 (7.2%)","50,412 (5.0%)","16,042 (2.3%)","174,225 (5.5%)"
  Admission type: elective,180 (0.0%),"46,869 (11.3%)","13,301 (6.6%)","37,712 (19.0%)","78,353 (41.1%)",,"54,040 (5.4%)","183,528 (25.8%)","413,983 (13.0%)"
"Hospital length of stay (days), median [Q1, Q3]","3.1 [1.5, 5.9]","3.5 [2.0, 6.2]","3.8 [2.0, 7.0]","3.2 [1.9, 6.1]","4.0 [1.9, 8.6]","4.5 [2.8, 8.2]","3.0 [1.7, 5.0]","3.7 [2.1, 6.8]","3.4 [1.5, 8.6]"
"Charlson Comorbidity Index, median [Q1, Q3]","1 [0, 3]","1 [0, 3]","1 [0, 3]","2 [0, 4]","2 [0, 6]","2 [0, 4]","1 [0, 3]","2 [0, 3]","1.4 [0, 6]"
"Comorbidities, n (%)",,,,,,,,,
  Renal Disease,"114,357 (24.7%)","35,411 (8.5%)","25,527 (12.7%)","48,407 (24.4%)","18,545 (9.7%)","23,203 (14.7%)","228,961 (22.9%)","154,233 (21.7%)","648,644 (19.4%)"
  Congestive Heart Failure,"106,703 (23.0%)","34,327 (8.3%)","24,828 (12.3%)","39,529 (19.9%)","24,503 (12.9%)","25,646 (16.2%)","188,155 (18.8%)","159,966 (22.5%)","603,657 (18.1%)"
  Chronic Pulmonary Disease,"88,427 (19.1%)","35,854 (8.7%)","36,696 (18.3%)","44,857 (22.6%)","25,533 (13.4%)","26,933 (17.0%)","224,905 (22.5%)","164,490 (23.1%)","647,695 (19.4%)"
  Diabetes With Complications,"76,455 (16.5%)","24,882 (6.0%)","17,800 (8.9%)","37,432 (18.9%)",,"14,957 (9.5%)","125,961 (12.6%)","98,277 (13.8%)","395,764 (12.6%)"
  Diabetes Uncomplicated,"58,624 (12.6%)","24,119 (5.8%)","22,599 (11.2%)","21,997 (11.1%)","42,900 (22.5%)","11,906 (7.5%)","139,339 (13.9%)","99,976 (14.0%)","421,460 (12.6%)"
