,Non-Hispanic,Non-Hispanic,Non-Hispanic,Hispanic,Hispanic,Hispanic,Unknown,Unknown,Unknown,Total
,Female,Male,Unknown,Female,Male,Unknown,Female,Male,Unknown,Unnamed: 10_level_1
American Indian or Alaska Native,5054,3412,0,664,391,0,113,96,0,9731
Asian,29407,20136,0,376,313,0,421,338,0,50992
Native Hawaiian or Other Pacific Islander,1217,856,0,271,207,0,51,30,0,2632
Black or African American,161948,103267,26,1546,856,0,2583,1913,0,272140
White,397467,353900,82,16145,11130,0,4961,4835,0,788539
Other,5643,4530,0,18227,14076,0,4354,3471,0,50301
Unknown,10049,9518,13,4248,3501,0,82908,71328,243,181809
Total,610785,495619,121,41477,30474,0,95391,82011,243,1726700
